source,alias,first nH,double checked,neutron star
GRO_J1655-40,,,FALSE,FALSE
MAXI_J1543-564,, 1.4*10^22,TRUE,FALSE
ASM_J1748-2848,,,FALSE,FALSE
XTE_J1650-500,,5.3*10^21,TRUE,FALSE
MAXI_J1659-152,,0.319*10^22,TRUE,FALSE
XTE_J1817-330,,1.2*10^21,TRUE,FALSE
4U_1630-47,,9.5*10^22,TRUE,FALSE
GRO_J1655-40,,5.6*10^21,FALSE,FALSE
H1743-322,,2.2*10^22,FALSE,FALSE
XTE_J1829-098,,6*10^22,TRUE,TRUE
XTE_J1746-319,,,FALSE,FALSE
XTE_J1859+226,,0.2*10^22,TRUE,FALSE
GX_339-4,,5*10^21,FALSE,FALSE
H_1743-322,,1.6*10^22,TRUE,FALSE
XTE_J1748-2848,,,FALSE,FALSE
4U1543-47,,4.0*10^21,TRUE,FALSE
XTE_J1550-564,,8*10^21,TRUE,FALSE
GX339-4,,5*10^21,TRUE,FALSE
SWIFT_J1753.5-0127,,1.7*10^21,TRUE,FALSE
XTE_J1752-223,,0.6*10^22,TRUE,FALSE
