obsid,source,nH,gamma,kT_e,nthcomp_norm,diskbb_Tin,diskbb_norm,red_pgstat
10255-01-03-00,GRO_J1655-40,1.63554,2.54958,1000.00,1.65973,1.24672,1470.90,1291.121971830986
10255-01-05-00,GRO_J1655-40,1.63554,2.03668,1000.00,1.05864,1.42916,842.151,30599.12837837838
10255-01-06-00,GRO_J1655-40,1.63554,1.97303,1000.00,0.894278,1.42392,853.386,13617.693333333333
10255-01-07-00,GRO_J1655-40,1.63554,1.94007,1000.00,0.863335,1.41788,865.223,9369.15894039735
10255-01-08-00,GRO_J1655-40,1.63554,2.24610,11.8233,2.25698,1.29228,1172.52,15494.823218997362
10255-01-09-00,GRO_J1655-40,1.63554,1.97629,1000.00,0.606291,1.66739,423.760,16158.504385964912
10255-01-10-00,GRO_J1655-40,1.63554,1.91869,1000.00,0.862456,1.42440,848.668,6110.844277673546
10255-01-11-00,GRO_J1655-40,1.63554,2.19644,11.3416,1.70410,1.27560,1283.07,3056.218032786885
10255-01-16-00,GRO_J1655-40,1.63554,2.50712,1000.00,2.31306,1.24640,1360.48,2046.9665697674418
10255-01-17-00,GRO_J1655-40,1.63554,1.80052,1000.00,0.347681,1.67640,416.723,6660.768929503916
10255-01-18-00,GRO_J1655-40,1.63554,1.89228,1000.00,0.843910,1.42062,839.757,3572.649289099526
20187-01-01-00,GRO_J1655-40,1.63554,1.91070,1000.00,0.891379,1.42406,824.670,3666.9761388286333
20402-02-25-00,GRO_J1655-40,1.63554,1.80052,1000.00,0.433926,1.67240,396.152,5691.076
20402-02-26-00,GRO_J1655-40,1.63554,1.80052,1000.00,0.385625,1.70582,345.826,5757.775510204082
30171-02-01-00,XTE_J1748-2848,1.63554,1.89565,1000.00,0.779952,1.43194,719.680,2712.6340830449826
30185-01-01-00,XTE_J1748-2848,1.63554,1.80052,1000.00,0.330286,1.76852,279.719,6580.863857374392
30185-01-02-00,XTE_J1748-2848,1.63554,1.80052,1000.00,0.327740,1.76173,276.080,6579.769817073171
30185-01-03-00,XTE_J1748-2848,1.63554,1.92870,1000.00,0.340342,1.82821,218.323,8692.978417266188
30185-01-04-00,XTE_J1748-2848,1.63554,1.80114,10.6468,0.606604,1.43551,591.891,6339.487057220708
30185-01-05-00,XTE_J1748-2848,1.63554,1.82133,1000.00,0.340109,1.73279,248.467,9945.498059508409
30188-05-01-00,ASM_J1748-2848,1.63554,1.80252,10.6366,0.590704,1.43468,558.343,7732.678571428572
30188-06-01-00,XTE_J1550-564,1.63554,1.87115,1000.00,0.424388,1.68567,265.736,9880.775558166863
30188-06-01-01,XTE_J1550-564,1.63554,1.91619,1000.00,0.468426,1.67628,266.881,9719.943820224718
30188-06-01-02,XTE_J1550-564,1.63554,1.85990,1000.00,0.528167,1.59020,332.516,9003.821313240043
30188-06-01-03,XTE_J1550-564,1.63554,1.89775,1000.00,0.576797,1.58180,333.727,8873.75
30188-06-03-00,XTE_J1550-564,1.63554,1.97742,1000.00,0.893838,1.40341,521.088,9359.791459781529
30188-06-04-00,XTE_J1550-564,1.63554,2.23044,28.7502,1.61789,1.28180,671.937,9377.686424474188
30188-06-05-00,XTE_J1550-564,1.63554,2.08858,11.0887,1.34983,1.30467,641.812,9303.244239631336
30188-06-06-00,XTE_J1550-564,1.63554,1.96816,10.0000,1.11715,1.32483,638.997,8575.324733096086
30188-06-07-00,XTE_J1550-564,1.63554,2.20173,21.3835,1.64945,1.28062,655.453,8776.513327601031
30188-06-08-00,XTE_J1550-564,1.63554,2.19583,20.0306,1.66977,1.27927,651.905,8572.866056572379
30188-06-09-00,XTE_J1550-564,1.63554,2.18934,18.8615,1.67933,1.27886,650.008,8315.890410958904
30188-06-10-00,XTE_J1550-564,1.63554,2.17626,17.6373,1.65678,1.28166,643.378,8132.84765625
30188-06-11-00,XTE_J1550-564,1.63554,2.18201,17.5540,1.70205,1.27740,647.668,7853.244882486732
30191-01-01-00,XTE_J1550-564,1.63554,2.20007,18.4802,1.78170,1.26983,661.276,7436.174521354934
30191-01-02-00,XTE_J1550-564,1.63554,2.22550,17.9792,1.99710,1.26847,677.599,5995.082319255547
30191-01-27-00,XTE_J1550-564,1.63554,2.21968,17.4917,1.99176,1.26678,676.801,5965.257660167131
30191-01-27-01,XTE_J1550-564,1.63554,2.22161,17.6373,2.00269,1.26510,677.441,5855.186440677966
30191-01-28-00,XTE_J1550-564,1.63554,2.21643,17.2679,1.98843,1.26592,674.479,5763.678996036988
30191-01-28-01,XTE_J1550-564,1.63554,2.22330,17.8295,2.01397,1.26271,676.895,5669.1049581455245
30191-01-28-02,XTE_J1550-564,1.63554,2.20823,16.7170,1.96919,1.26613,670.002,5617.804648241206
30191-01-29-00,XTE_J1550-564,1.63554,2.21830,17.4523,2.00557,1.26166,674.287,5529.2765174739425
30191-01-29-01,XTE_J1550-564,1.63554,2.21156,16.9967,1.98762,1.26200,670.511,5508.497005988024
