obsid,object,instrument,resp_file,obs_date,obs_time,time_start,source_percent,spectral_file,bg_file,background_count_rate,bg_source_ratio,exposure_time,net_source_count
10255-01-03-00,GRO_J1655-40,PCA,xp10255010300.rsp,25/07/96,08:32:48,80901110.3784317,99.3147473721719,xp10255010300_s2.pha,xp10255010300_b2.pha,164.2524422821714,145.93158192905977,7007.99999999865,165676925.88448676
10255-01-05-00,GRO_J1655-40,PCA,xp10255010500.rsp,06/08/96,15:54:24,81964624.3784317,99.53818189157386,xp10255010500_s2.pha,xp10255010500_b2.pha,139.7480405885141,216.53546748263062,5983.99999999888,179405772.7251185
10255-01-06-00,GRO_J1655-40,PCA,xp10255010600.rsp,15/08/96,14:24:32,82736615.3784317,99.3679708567587,xp10255010600_s2.pha,xp10255010600_b2.pha,110.79258926406281,158.22055212068278,3055.99999999962,52893490.847209066
10255-01-07-00,GRO_J1655-40,PCA,xp10255010700.rsp,22/08/96,10:33:20,83327647.3784317,99.44340491573739,xp10255010700_s2.pha,xp10255010700_b2.pha,84.84393841923139,179.66382173942745,5887.99999999909,88753935.89058764
10255-01-08-00,GRO_J1655-40,PCA,xp10255010800.rsp,29/08/96,09:07:28,83927208.3784317,99.59236911496193,xp10255010800_s2.pha,xp10255010800_b2.pha,111.83016250271363,245.319978614135,4767.99999999923,129739724.78518716
10255-01-09-00,GRO_J1655-40,PCA,xp10255010900.rsp,04/09/96,06:05:52,84434691.3784317,99.43099267399981,xp10255010900_s2.pha,xp10255010900_b2.pha,136.41400328691395,175.74466167763413,5855.99999999891,138794255.596752
10255-01-10-00,GRO_J1655-40,PCA,xp10255011000.rsp,09/09/96,21:52:16,84923587.3784317,99.41729901094914,xp10255011000_s2.pha,xp10255011000_b2.pha,139.1877751521255,171.61460488145997,7391.99999999856,174512401.9660757
10255-01-11-00,GRO_J1655-40,PCA,xp10255011100.rsp,20/09/96,04:40:48,85811992.3784317,99.19101819109885,xp10255011100_s2.pha,xp10255011100_b2.pha,169.17050813648504,123.61217384582505,6223.99999999883,128047554.75735871
10255-01-16-00,GRO_J1655-40,PCA,xp10255011600.rsp,22/10/96,01:57:20,88566979.3784317,99.41565516407542,xp10255011600_s2.pha,xp10255011600_b2.pha,140.77122412494725,171.13182807848975,6559.99999999875,156186347.76974052
10255-01-17-00,GRO_J1655-40,PCA,xp10255011700.rsp,27/10/96,13:33:20,89040754.3784317,99.48316581705122,xp10255011700_s2.pha,xp10255011700_b2.pha,90.99754810966921,193.4856541985118,5615.99999999915,97857255.76981618
