ids,net_count_rates,source_percents,hardness_ratios,mjds,tins,diskbb_norms,gammas,nthcomp_norms,red_pgs
1050360105_4,4903.0,99.9,0.3485501113007045,58009.0634028,0.2,16524200.0,2.36024,45.7445,3.63273631840796
1130360110_1,6756.0,100.0,0.29495526379640885,58033.2239005,0.2,8716210.0,2.66234,91.1747,128.91497512437812
1050360105_8,4779.0,100.0,0.349111233508253,58009.1044444,0.2,16523600.0,2.36036,45.5097,1.6229353233830845
1130360176_0,-1.799,-120.8,1.6371564431728653,58247.1552662,0.2,0.236914,3.64758,2.31442e-08,9.781318681318682
1130360183_4,90.16,95.1,0.04903272498633964,58261.3057292,0.314286,110770.0,4.0,0.854718,2.525414364640884
1050360109_8,6747.0,100.0,0.35308453497737924,58013.7308681,0.2,19523400.0,2.35059,62.7202,3.1464179104477608
1130360207_0,32.04,98.2,0.3117174689608814,58300.1898727,0.2,555542.0,2.39151,0.243489,1.3033333333333335
1130360107_1,6443.0,100.0,0.31262372863715393,58030.7229282,0.2,12762200.0,2.5628,77.1688,2.0732835820895525
1130360164_1,2.904,79.8,0.06979460477106944,58230.7449884,0.2,185632.0,1.1,0.00031417,1.2683333333333333
1050360117_0,10170.0,100.0,0.274963882786037,58021.0164815,0.29898,0.1,2.85746,133.357,364.9917412935323
1050360111_0,10450.0,99.9,0.30812654573012616,58015.274838,0.2,4198360.0,2.61984,136.63,196.7050248756219
1130360181_6,86.42,97.4,0.027868773957596894,58259.9476157,0.333431,85410.6,3.64758,0.351706,3.8463309352517983
1130360130_3,1235.0,99.9,0.11365881818797573,58136.3578009,0.430843,82713.6,3.64758,11.1111,5.341360544217687
1130360146_8,248.3,99.0,0.05333541399165124,58199.5096528,0.384877,75178.5,3.64758,1.1974,9.238211920529801
2130360212_2,0.454,22.0,1.2603216500954115,58614.7088542,0.420308,0.1,1.1,0.00106342,1.412162162162162
1130360226_3,10.1,95.1,0.5208294977422108,58321.4347222,0.2,46545.8,1.73443,0.0428633,1.1668156424581007
1130360184_7,75.41,99.1,0.05818569762943779,58266.2934244,0.286072,165702.0,4.0,1.01026,1.9180357142857143
1130360220_5,1.107,78.4,0.5023398580217285,58314.8771412,0.279719,945.831,1.55084,0.00308181,0.8147413793103448
1130360199_2,15.57,94.6,0.44724228081761597,58287.8375694,0.2,94179.7,1.91674,0.081975,0.9750785340314136
1130360131_6,1200.0,100.0,0.11242679819577486,58137.8225926,0.822978,4579.32,3.64758,0.00935658,690.7887700534759
1050360105_22,4826.0,99.8,0.3576684335367613,58009.4265394,0.2,17261800.0,2.31288,42.4808,13.510248756218905
1050360116_0,10290.0,100.0,0.28271364032146196,58020.0518634,0.255482,0.1,2.78324,141.952,291.2900995024876
1130360235_0,4.178,88.4,0.5275638142469642,58335.4947454,0.2,27235.0,1.71178,0.0162829,1.3438172043010752
1130360137_0,1021.0,100.0,0.10532089872830562,58151.7828588,0.484866,50570.9,3.64758,5.07423,66.53544943820225
1130360178_7,1.236,76.3,0.4453968147556076,58252.7583681,0.2,7603.19,1.85494,0.00617995,0.9002678571428572
1130360131_3,1208.0,100.0,0.1124450747143815,58137.6295255,0.892932,3114.2,3.64758,0.203316,1067.5829787234043
1130360132_0,1211.0,100.0,0.11334650109693356,58138.0156481,0.501893,22827.0,3.64758,9.96343,302.4956315789474
1050360105_21,4880.0,99.9,0.35760157816339677,58009.422037,0.2,17193200.0,2.31402,43.048,2.995771144278607
1130360287_1,-1.469,-69.1,-3.3688215395097787,58537.3301157,0.982887,0.103381,3.64758,4.80293e-08,9.993538461538462
1130360268_0,1.436,73.7,0.5176930491777547,58388.8881944,0.337778,205.587,1.52034,0.00392314,1.007754010695187
1130360244_3,1.503,65.0,0.6333985154381473,58350.4849421,0.280383,959.075,1.3632,0.00321905,0.9984466019417476
1130360130_1,1231.0,99.9,0.11100419676412263,58136.3565972,0.470128,59572.9,3.64758,7.96607,5.811818181818182
1050360115_3,10600.0,100.0,0.2748537026614121,58019.0699306,0.320924,0.1,2.87711,132.556,414.6397014925373
1050360112_2,11030.0,99.9,0.3124050218288132,58016.3727431,0.2,3621410.0,2.60401,141.834,125.00721393034826
1130360222_0,1.54,70.2,0.4927361164678754,58316.5477199,0.399991,119.451,1.26081,0.00279206,1.3611042944785277
1130360156_2,58.55,99.4,0.02333288238412527,58214.5345139,0.29356,151516.0,4.0,0.367486,2.2995945945945944
1050360115_18,10600.0,100.0,0.3002825111948391,58019.7372801,0.2,1831110.0,2.66696,146.335,50.771542288557214
1130360209_0,17.76,95.4,0.396190434761126,58302.0612847,0.2,206468.0,2.02919,0.0980723,1.4438011695906432
1130360263_1,0.5973,65.8,0.5564560720129434,58382.2164815,0.346028,100.06,1.27341,0.00135493,1.0318181818181817
1130360196_3,1.372,77.1,0.4329482668712477,58282.8847917,0.2,10469.6,2.05543,0.00861218,1.2557657657657657
1050360115_9,10580.0,99.9,0.27782832300338045,58019.3965625,0.297243,0.1,2.83948,137.282,198.32875621890548
1130360270_0,1.307,38.5,0.5042294102018573,58391.0726968,0.2,4589.47,1.64923,0.00523802,1.119004975124378
1130360185_2,70.08,99.5,0.13045107151407648,58267.3867361,0.250522,300343.0,3.40209,1.01304,3.125
1130360107_6,6412.0,100.0,0.3134187563734398,58030.725544,0.2,12701200.0,2.55158,75.8518,5.1676119402985075
1130360163_3,4.567,89.7,0.43058170504394894,58229.7799074,0.2,189422.0,1.1,0.00320106,1.2854166666666667
