full_ids,simpl_tin,simpl_diskbb_norm,simpl_gamma,simpl_FracScat,fit_stat,reduced_fit_stat,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,nthcomp_fit_stat,nthcomp_reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1050360103_0,0.163944,4.36356E+07,1.78987,2.10621E-02,574.10,2.856218905472637,58005.3035185,1982.0,100.0,148.539888000349,0.200001,8080740.0,1.7792700000000001,8.97673,651.22,3.239900497512438,,,,,0.497391058292425,4335.480011712296,316230,316230,0.4911599781491678,
1050360103_1,0.160844,5.27328E+07,1.81094,1.95916E-02,577.45,2.8728855721393036,58005.36789349999,2005.0,99.9,166.488812995842,0.2,8212800.0,1.7974599999999998,9.29172,700.14,3.483283582089552,,,,,0.4929246341643871,2163.82740447424,358360,358360,0.9952051327579134,
1050360103_2,0.165434,4.06819E+07,1.80275,2.25540E-02,620.69,3.0880099502487566,58005.4322454,1971.0,99.9,166.483802996576,0.2,8186140.0,1.79236,9.25163,701.77,3.4913930348258706,,,,,0.4962107363217802,1480.6400590475066,352400,352400,1.4305657763517532,
1050360104_0,0.150944,1.84513E+08,2.36275,4.12539E-02,722.92,3.5966169154228855,58008.4558218,4556.0,100.0,222.787264049053,0.2,16087300.0,2.3178099999999997,40.3658,1204.9,5.99452736318408,,,,,0.35768567645420746,4383.411689397505,1113493,1113493,1.1404702416790908,
1050360104_1,0.146330,2.40347E+08,2.38310,3.77068E-02,445.45,2.2161691542288557,58008.5201852,4569.0,100.0,118.363112026826,0.2,15613600.0,2.33623,41.426,765.45,3.808208955223882,,,,,0.3529490555382753,7774.157504188097,593810,593810,0.6454069891591605,
1050360104_11,0.149364,2.09302E+08,2.38379,4.12728E-02,1252.74,6.232537313432836,58008.8012153,4667.0,100.0,546.884153994732,0.2,16524000.0,2.33791,43.2486,2568.17,12.776965174129353,,,,,0.352358179299852,5095.210036055391,2802054,2802054,1.0057830528586542,
1050360104_12,0.152366,1.75540E+08,2.35697,4.16461E-02,2604.94,12.959900497512438,58008.84332180001,4609.0,100.0,846.324606064241,0.2,16708500.0,2.3122,40.5058,4382.4,21.802985074626864,,,,,0.3576821180768183,3895.500698645292,4277056,4277056,1.2976458517081688,
1050360104_13,0.151785,1.85647E+08,2.33767,3.77246E-02,2834.53,14.102139303482588,58008.9076852,4494.0,99.9,845.4159501241521,0.2,17055200.0,2.2924,38.4852,4769.78,23.730248756218906,,,,,0.36115477399567936,2934.973864156634,4160092,4160092,1.6771668008450769,
1050360104_14,0.148460,2.22990E+08,2.38108,3.89863E-02,2619.38,13.031741293532338,58008.971794000005,4694.0,99.9,866.168562917039,0.2,16638000.0,2.33413,42.375,4819.08,23.975522388059698,,,,,0.3537134471242101,3650.916628305458,4459970,4459970,1.4107386856489228,
1050360104_5,0.143830,2.89629E+08,2.40831,3.72936E-02,1692.35,8.419651741293531,58008.73285880001,4829.0,100.0,658.318983900361,0.2,15950100.0,2.36006,45.0917,3648.91,18.153781094527364,,,,,0.3482123521091027,4998.141052376676,3496417,3496417,1.0628335028928575,
1050360104_6,0.144054,2.81910E+08,2.41659,3.87866E-02,762.22,3.792139303482587,58008.7405324,4852.0,100.0,231.090095985681,0.2,15776300.0,2.36841,45.7808,1416.58,7.047661691542287,,,,,0.3477435099730364,5537.180918779071,1232367,1232367,0.963270928017674,
1050360104_7,0.148700,2.18201E+08,2.37330,3.94185E-02,598.22,2.976218905472637,58008.77817130001,4735.0,100.0,145.295696008019,0.2,16523300.0,2.32723,42.4377,963.95,4.795771144278606,,,,,0.3548907455272716,9117.607181254829,754843,754843,0.5698632362278621,
1050360104_8,0.146084,2.60850E+08,2.38482,3.61241E-02,620.28,3.0859701492537313,58008.77991900001,4710.0,100.0,155.333099970594,0.2,16679700.0,2.33696,42.6586,1067.4,5.31044776119403,,,,,0.35280602526739496,5347.288050436156,801918,801918,0.9656363329037738,
1050360104_9,0.148616,2.17849E+08,2.38068,4.01436E-02,1617.67,8.048109452736318,58008.7817477,4742.0,99.9,607.71893005399,0.2,16412400.0,2.33442,42.8742,3118.29,15.513880597014925,,,,,0.3537294601264574,1875.1426498559615,3165022,3165022,2.7788897992643453,
1050360105_1,0.143515,2.98628E+08,2.40836,3.65328E-02,433.05,2.1544776119402984,58008.9988079,4834.0,99.9,136.463918969035,0.2,16100500.0,2.35975,45.0951,846.88,4.213333333333333,,,,,0.3493220535371164,1833.3821026453681,725166,725166,2.9000370957827566,
1050360105_15,0.148164,2.24090E+08,2.40695,4.28478E-02,1200.19,5.971094527363184,58009.1218634,4809.0,99.9,486.063616026193,0.2,16409600.0,2.36023,45.8168,2376.32,11.822487562189055,,,,,0.34870118118611954,2014.318640275964,2568419,2568419,2.6245826045522795,
1050360105_16,0.152249,1.83387E+08,2.35506,4.08635E-02,2850.31,14.180646766169154,58009.1646412,4726.0,99.9,845.0861098486929,0.2,17340300.0,2.30993,41.3992,4698.92,23.37771144278607,,,,,0.3591091603511961,2410.126689168737,4372065,4372065,2.1474645711472844,
1050360105_17,0.152044,1.85388E+08,2.35627,4.06006E-02,2949.25,14.672885572139304,58009.182858800006,4710.0,99.9,911.352809923701,0.2,17305000.0,2.31105,41.3087,4979.77,24.774975124378113,,,,,0.35840226298110034,1781.5425227034814,4704888,4704888,2.8994151419141097,
1050360105_18,0.152893,1.80125E+08,2.32199,3.77436E-02,3237.70,16.107960199004975,58009.2289699,4623.0,99.9,846.228442926425,0.2,17729100.0,2.27637,38.8286,5114.49,25.44522388059701,,,,,0.3652616597206601,1532.5180688485807,4278928,4278928,3.3016059258596564,
1050360105_19,0.153665,1.69914E+08,2.33965,4.08709E-02,2775.78,13.809850746268658,58009.2933449,4682.0,99.9,844.248146991245,0.2,17492800.0,2.2955900000000002,40.2873,4544.91,22.611492537313428,,,,,0.3616003683824405,1493.040951495897,4328998,4328998,3.436659665795616,
1050360105_2,0.145899,2.62529E+08,2.40504,3.86428E-02,946.79,4.710398009950248,58009.0391088,4766.0,99.9,291.780241058208,0.2,16594000.0,2.35704,45.1946,1748.98,8.701393034825871,,,,,0.3502847335750467,2905.9490172182104,1526425,1526425,1.8008646650250524,
1050360105_21,0.154607,1.57775E+08,2.35751,4.61145E-02,463.37,2.305323383084577,58009.422037000004,4880.0,99.9,75.52712800912559,0.2,17193200.0,2.31402,43.048,602.15,2.995771144278607,0.2,17193000.0,2.314,43.048,0.3576015781633968,1296.5012261623747,404944,404944,4.13860682435292,
1050360105_23,0.150736,1.89980E+08,2.40349,4.78107E-02,408.36,2.0316417910447764,58009.48591440001,5034.0,99.9,82.47045998740941,0.2,16359100.0,2.35843,46.9555,578.64,2.8788059701492537,0.2,16359000.0,2.3584,46.956,0.3485421500331733,2300.494471824925,457018,457018,2.4099194050278943,
1050360105_26,0.147011,2.55088E+08,2.35075,3.50367E-02,602.42,2.9971144278606965,58009.6779977,4867.0,100.0,177.904161991086,0.2,17300200.0,2.30487,42.4566,1136.72,5.6553233830845775,,,,,0.3604492047391685,4163.335666918025,949387,949387,1.2820946023271849,
1050360105_28,0.159652,1.25396E+08,2.24631,3.91456E-02,3473.81,17.282636815920398,58009.80675930001,4561.0,99.9,745.954499929212,0.2,18340200.0,2.20626,35.1656,4636.3,23.066169154228856,,,,,0.38058124357203976,2229.4968626022423,3715901,3715901,2.235320338952622,
1050360105_29,0.162551,1.08037E+08,2.20702,3.81464E-02,3687.58,18.346169154228857,58009.8711343,4416.0,99.9,803.781432047486,0.2,18537400.0,2.17066,32.533,4771.08,23.736716417910447,,,,,0.3878883641035065,3453.465332596209,3865724,3865724,1.3930398741716488,
1050360105_4,0.143707,3.03322E+08,2.40845,3.62646E-02,390.80,1.9442786069651743,58009.0634028,4903.0,99.9,104.583780008834,0.2,16524200.0,2.36024,45.7445,730.18,3.63273631840796,,,,,0.3485501113007045,2348.292590569696,563173,563173,2.2940890020560816,
1050360106_0,0.161774,1.13033E+08,2.20223,3.68599E-02,4185.56,20.823681592039804,58009.9998148,4410.0,99.9,825.68399998825,0.2,18555000.0,2.16756,32.3667,5345.7,26.5955223880597,,,,,0.3896083205446472,3261.5191510843574,3964168,3964168,1.4724868568458718,
1050360106_1,0.162110,1.11575E+08,2.20627,3.74142E-02,4284.18,21.314328358208957,58010.0641898,4429.0,99.9,823.624020030722,0.2,18747100.0,2.17104,32.6394,5418.62,26.958308457711443,,,,,0.38860393237490654,3137.374919124889,3970004,3970004,1.5368588002022718,
1050360106_2,0.159913,1.25354E+08,2.22929,3.72381E-02,3854.00,19.17412935323383,58010.1285301,4498.0,99.9,824.607958141714,0.2,18633700.0,2.18986,33.9382,5159.58,25.669552238805966,,,,,0.3840705315608478,3544.029441546567,4041021,4041021,1.3831485454273909,
1050360106_3,0.162271,1.11735E+08,2.20071,3.72204E-02,4301.27,21.399353233830848,58010.1926505,4471.0,99.9,884.2376269595699,0.2,18883700.0,2.1644,32.6759,5538.91,27.55676616915423,,,,,0.3891987098783376,2281.484427987221,4304840,4304840,2.1348182750360647,
