full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1050360103_0,58005.3035185,1.982e+03,100.0,148.539888000349,0.200001,8.08074E+06,1.77927,8.97673,651.22,3.239900497512438,,,,,0.49739105829242497,4335.480011712296,316230,316230,0.4911599781491678,
1050360103_1,58005.3678935,2.005e+03,99.9,166.488812995842,0.200000,8.21280E+06,1.79746,9.29172,700.14,3.4832835820895522,,,,,0.4929246341643871,2163.8274044742398,358360,358360,0.9952051327579134,
1050360103_2,58005.4322454,1.971e+03,99.9,166.483802996576,0.200000,8.18614E+06,1.79236,9.25163,701.77,3.4913930348258706,,,,,0.49621073632178014,1480.6400590475068,352400,352400,1.430565776351753,
1050360104_0,58008.4558218,4.556e+03,100.0,222.787264049053,0.200000,1.60873E+07,2.31781,40.3658,1204.90,5.99452736318408,,,,,0.35768567645420746,4383.411689397505,1113493,1113493,1.1404702416790908,
1050360104_1,58008.5201852,4.569e+03,100.0,118.363112026826,0.200000,1.56136E+07,2.33623,41.4260,765.45,3.808208955223881,,,,,0.35294905553827527,7774.157504188097,593810,593810,0.6454069891591605,
1050360104_10,58008.7953819,4.736e+03,99.8,147.222555972636,0.200000,1.64583E+07,2.32860,42.5186,861.50,4.286069651741293,,,,,0.3556272656698848,855.9599876423597,765829,765829,6.084314635980593,
1050360104_11,58008.8012153,4.667e+03,100.0,546.884153994732,0.200000,1.65240E+07,2.33791,43.2486,2568.17,12.776965174129353,,,,,0.352358179299852,5095.210036055391,2802054,2802054,1.005783052858654,
1050360104_12,58008.8433218,4.609e+03,100.0,846.324606064241,0.200000,1.67085E+07,2.31220,40.5058,4382.40,21.802985074626864,,,,,0.35768211807681827,3895.500698645292,4277056,4277056,1.2976458517081688,
1050360104_13,58008.9076852,4.494e+03,99.9,845.415950124152,0.200000,1.70552E+07,2.29240,38.4852,4769.78,23.730248756218906,,,,,0.36115477399567936,2934.973864156634,4160092,4160092,1.6771668008450769,
1050360104_14,58008.971794,4.694e+03,99.9,866.168562917039,0.200000,1.66380E+07,2.33413,42.3750,4819.08,23.9755223880597,,,,,0.3537134471242101,3650.9166283054574,4459970,4459970,1.4107386856489228,
