ID,mjds,num_qpos,hardness,tins,disk_norm,gammas,nthcomp_norms,fit_stats,red_fit_stats,count_rates,bg_ratio,intensities
1050360103_0,58005.3035185,0,0.49739105829242497,0.200001,8073080.0,1.77742,8.97014,651.18,3.2397014925373133,2890.159712514333,3099.899694745647,2128.431947849626
1050360103_2,58005.4322454,0,0.49621073632178014,0.2,8148150.0,1.79006,9.23798,701.45,3.489800995024876,2878.7845506499934,1073.320477916302,2115.2918640160988
1050360104_0,58008.4558218,2,0.35768567645420746,0.200104,15899600.0,2.31965,40.3453,1202.71,5.98363184079602,7147.127582882888,3282.7068276017444,4996.869648337011
1050360104_11,58008.8012153,2,0.352358179299852,0.2,16498800.0,2.34019,43.2587,2559.12,12.731940298507462,7341.169003844777,3824.146832421283,5122.664338914127
1050360104_12,58008.8433218,2,0.35768211807681827,0.2,16666000.0,2.3147,40.5317,4360.46,21.693830845771146,7247.674185588316,2872.985780669177,5052.385030255979
1050360104_13,58008.9076852,2,0.36115477399567936,0.2,17032800.0,2.29473,38.5084,4744.59,23.60492537313433,7067.565970481805,2159.4327573099467,4919.086392782
1050360104_14,58008.971794,2,0.3537134471242101,0.2,16624700.0,2.33615,42.3721,4798.41,23.872686567164177,7385.092548796041,2661.1242249645925,5147.66784825814
1050360104_1,58008.5201852,1,0.35294905553827527,0.2,15605500.0,2.3378,41.4004,763.2,3.7970149253731345,7177.692318595436,5869.9144937971705,5016.204774016586
1050360104_5,58008.7328588,2,0.3482123521091027,0.2,15934300.0,2.36268,45.1161,3634.58,18.082487562189055,7604.337900663803,3607.6747771058363,5310.066095644312
1050360104_6,58008.7405324,2,0.3477435099730364,0.2,15754400.0,2.37116,45.8122,1412.35,7.026616915422885,7628.596078428363,4132.9233122063315,5331.878860378038
1050360104_7,58008.7781713,2,0.35489074552727157,0.2,16512100.0,2.32902,42.4247,960.35,4.777860696517413,7438.004219618141,7005.895986922556,5194.649408491818
1050360104_8,58008.779919,1,0.35280602526739496,0.2,16655300.0,2.33879,42.6455,1063.24,5.289751243781095,7397.2514564991225,4065.672282609634,5161.604351337532
1050360105_15,58009.1218634,2,0.34870118118611954,0.2,16379500.0,2.36322,45.8632,2367.31,11.777661691542288,7572.467633129024,1527.2642471834854,5281.496497959021
1050360105_16,58009.1646412,2,0.35910916035119606,0.200001,17369000.0,2.31241,41.4259,4675.9,23.263184079601988,7420.436718718242,2303.0801797666118,5171.366747824071
1050360105_18,58009.2289699,2,0.36526165972066005,0.2,17675900.0,2.27937,38.8838,5088.13,25.314079601990052,7251.127105560433,1486.299627586339,5053.167525673625
1050360105_26,58009.6779977,1,0.36044920473916847,0.2,17285800.0,2.30655,42.4441,1133.23,5.637960199004975,7630.754586101367,3115.3056126989604,5335.225997027196
1050360105_28,58009.8067593,2,0.38058124357203976,0.200001,18359700.0,2.20927,35.2349,4613.1,22.95074626865672,7119.100428382624,1650.0917032044229,4979.169041927947
1050360105_29,58009.8711343,2,0.3878883641035065,0.2,18528500.0,2.17196,32.5338,4745.71,23.61049751243781,6874.431007848364,2545.0308602654186,4808.02883262763
1050360105_2,58009.0391088,2,0.3502847335750467,0.2,16596600.0,2.3588,45.1731,1743.92,8.676218905472638,7501.649159181221,2110.03417024643,5229.619174142502
1050360105_4,58009.0634028,2,0.3485501113007045,0.2,16477800.0,2.36278,45.765,729.25,3.6281094527363185,7715.8044959920035,1804.809728539723,5382.604027631612
1050360106_0,58009.9998148,1,0.3896083205446472,0.2,18653400.0,2.16756,32.3137,5321.02,26.47273631840796,6860.966180864129,2380.7904199170616,4799.59910968305
1050360106_1,58010.0641898,1,0.38860393237490654,0.200061,18552600.0,2.17059,32.5576,5391.6,26.823880597014927,6893.771747681922,2281.150760717598,4818.628536390573
1050360106_3,58010.1926505,1,0.38919870987833755,0.2,18851700.0,2.16549,32.6693,5510.6,27.415920398009952,6955.40860565664,1738.3712517322774,4866.2850145272505
1050360106_4,58010.2570023,2,0.3909724798872425,0.2,18813800.0,2.15973,32.5246,5223.93,25.989701492537314,6966.860077216331,1745.4879880258145,4878.819798933242
1050360106_6,58010.3856944,1,0.3869022038496289,0.200003,18718000.0,2.1797,33.3888,5575.14,27.737014925373135,6992.7767880515585,1552.7991976459516,4886.648803228255
1050360106_8,58010.4567477,2,0.3785994634228202,0.2,18551900.0,2.21845,36.7286,2111.47,10.504825870646766,7331.030380174638,2365.8491292825465,5129.73840026296
1050360107_0,58011.8653241,2,0.3750828584484685,0.2,19773900.0,2.23343,40.9501,5685.62,28.286666666666665,8020.666525146589,2270.782346055805,5617.006613163129
1050360107_1,58011.9296991,2,0.3745997539740281,0.2,19971900.0,2.23593,41.9166,5629.89,28.00940298507463,8176.0534394280285,2130.709906098808,5732.039987805682
1050360108_4,58012.3799306,1,0.35322159283321164,0.2,18979900.0,2.33918,54.0586,560.72,2.7896517412935324,9276.623100974792,5184.922593981013,6523.897150019665
