Index,Frequency,Width,Norm
0,1.04713,0.115182,1.71695E-04
1,1.05876,0.116440,1.60927E-04
2,1.16944,0.128605,3.13712E-04
3,3.16072,0.316072,0.0
4,3.19584,0.319584,0.0
5,3.23134,0.323134,0.0
6,3.26723,0.326723,0.0
7,3.30353,0.330353,0.0
8,3.34023,0.334023,0.0
9,3.37733,0.337733,0.0
10,3.41485,0.341485,0.0
11,3.45278,0.345278,0.0
12,3.49114,0.349114,0.0
13,1.18243,0.130062,3.08986E-04
14,3.52992,0.352992,0.0
15,3.56914,0.356914,0.0
16,3.60878,0.360878,0.0
17,3.64887,0.364887,0.0
18,3.68941,0.368941,0.0
19,3.73039,0.373039,0.0
20,3.77183,0.377183,0.0
21,3.81373,0.381373,0.0
22,3.85610,0.385610,0.0
23,3.89893,0.389893,0.0
24,1.19557,0.131494,3.11096E-04
25,3.94225,0.364474,1.20431E-05
26,3.98604,0.358744,4.04757E-05
27,4.03032,0.362729,6.37106E-05
28,4.07509,0.366761,7.81626E-05
29,4.12036,0.370844,8.66295E-05
30,4.16613,0.376137,9.57578E-05
31,4.21241,0.462930,1.18513E-04
32,4.25921,0.468452,1.25813E-04
33,4.30652,0.473651,1.39116E-04
34,4.35436,0.478500,1.44577E-04
35,1.20885,0.132953,3.03528E-04
36,4.40273,0.484220,1.51591E-04
37,4.45164,0.489664,1.61738E-04
38,4.50110,0.495038,1.76883E-04
39,4.55110,0.500339,1.84573E-04
40,4.60165,0.506157,2.01547E-04
41,4.65277,0.511590,2.17220E-04
42,4.70446,0.517467,2.33863E-04
43,4.75672,0.523165,2.55413E-04
44,4.80956,0.529051,3.04457E-04
45,4.86299,0.534927,3.63471E-04
46,1.22228,0.134444,3.12530E-04
47,4.91701,0.540434,4.69721E-04
48,4.97163,0.447575,5.26090E-04
49,5.02686,0.452449,7.00494E-04
50,5.08270,0.457464,9.68789E-04
51,5.13917,0.462550,1.19661E-03
52,5.19625,0.467683,1.25657E-03
53,5.25398,0.472874,1.17545E-03
54,5.31234,0.478111,1.01343E-03
55,5.37136,0.483454,8.24961E-04
56,5.43103,0.488843,6.62485E-04
57,1.23586,0.135916,3.18035E-04
58,5.49136,0.494564,5.52632E-04
59,5.55236,0.514063,4.69441E-04
60,5.61404,0.506030,3.88932E-04
61,5.67640,0.511263,3.05954E-04
62,5.73946,0.516597,2.70964E-04
63,5.80322,0.522290,2.17089E-04
64,5.86769,0.528103,1.72980E-04
65,5.93287,0.534036,1.35409E-04
66,5.99878,0.540075,1.03234E-04
67,6.06542,0.633155,7.31800E-05
68,1.24959,0.137383,3.21825E-04
69,6.13279,0.673931,4.40838E-05
70,6.20092,0.677246,1.95932E-05
71,6.26981,0.626981,0.0
72,6.33946,0.633946,0.0
73,6.40988,0.640988,0.0
74,6.48109,0.648109,0.0
75,6.55308,0.655308,0.0
76,6.62588,0.662588,0.0
77,6.69948,0.669948,0.0
78,6.77391,0.677391,0.0
79,1.26347,0.138977,3.26484E-04
80,6.84916,0.684916,0.0
81,6.92524,0.692524,0.0
82,7.00217,0.700217,0.0
83,7.07996,0.707996,0.0
84,7.15861,0.715861,0.0
85,7.23813,0.723813,0.0
86,7.31854,0.731854,0.0
87,7.39984,0.739984,0.0
88,7.48204,0.748204,0.0
89,7.56516,0.756516,0.0
90,1.27750,0.140525,3.46220E-04
91,7.64919,0.764919,0.0
92,7.73417,0.773417,0.0
93,7.82008,0.782008,0.0
94,7.90696,0.790696,0.0
95,7.99479,0.799479,0.0
96,8.08360,0.808360,0.0
