observation_ID,MJD
10258-01-02-00,50293.76740740741
10408-01-42-00,50379.151666666665
10408-01-45-00,50385.49759259259
20186-03-02-05,50708.9875925926
20402-01-01-00,50394.237962962965
20402-01-02-01,50401.09555555556
20402-01-04-00,50415.12796296296
20402-01-05-00,50421.976481481484
20402-01-07-00,50436.66148148148
20402-01-08-00,50441.92
20402-01-08-01,50442.11833333333
20402-01-09-00,50448.28407407407
20402-01-10-00,50455.99351851852
20402-01-11-00,50462.06240740741
20402-01-12-00,50471.069444444445
20402-01-13-00,50477.87333333334
20402-01-14-00,50480.8812962963
20402-01-15-00,50488.77925925926
20402-01-16-00,50501.88537037037
20402-01-18-00,50512.88925925926
20402-01-19-00,50517.046851851854
20402-01-20-00,50524.9237037037
20402-01-21-00,50533.83574074074
20402-01-21-01,50534.905185185184
20402-01-24-00,50561.13092592593
20402-01-27-01,50576.67537037037
20402-01-47-01,50710.00240740741
20402-01-48-00,50720.59111111111
20402-01-49-01,50730.395
20402-01-50-00,50735.54722222222
20402-01-50-01,50737.404814814814
20402-01-51-00,50743.29481481481
30182-01-01-00,51002.21129629629
30182-01-01-01,51002.174629629626
30182-01-02-01,51003.17388888889
30182-01-04-02,51006.17259259259
30402-01-09-00,50912.88407407407
30402-01-09-01,50913.00166666666
30402-01-10-00,50914.39388888889
30402-01-12-00,50944.94537037037
30402-01-12-01,50945.01907407407
30402-01-12-02,50945.09055555556
30402-01-12-03,50945.15925925926
30402-01-16-00,51053.69944444444
30402-01-17-00,51067.62592592592
30402-01-18-00,51096.35092592592
30703-01-14-00,50909.87944444444
30703-01-15-00,50925.88611111111
30703-01-16-00,50931.67833333334
30703-01-17-00,50938.89537037037
30703-01-18-00,50980.76351851852
30703-01-19-00,50952.60240740741
30703-01-20-00,50957.80962962963
30703-01-21-00,50964.80944444444
30703-01-22-00,50991.607407407406
30703-01-22-01,50991.68851851852
30703-01-23-00,51008.89611111111
30703-01-23-01,51008.96611111111
30703-01-24-00,51166.136296296296
30703-01-24-01,51165.69814814815
30703-01-24-02,51165.8075925926
30703-01-31-00,51056.767592592594
30703-01-33-00,51071.90148148148
30703-01-34-00,51078.000555555554
30703-01-35-00,51081.81351851852
30703-01-36-00,51089.71
30703-01-41-00,51173.66722222222
40115-01-10-00G,51542.710185185184
40115-01-10-01,51542.59407407408
40115-01-10-02,51542.52851851852
40116-01-01-00,51356.220925925925
40116-01-01-01,51356.28759259259
40116-01-01-02,51356.35425925926
40116-01-01-03,51356.42037037037
40116-01-01-04,51357.22018518519
40116-01-01-05,51357.28666666667
40116-01-01-06,51357.35296296296
40116-01-01-07,51357.41962962963
40116-01-02-00,51358.2187037037
40116-01-02-01,51358.28555555556
40116-01-02-02,51358.352222222224
40116-01-02-03,51358.418333333335
40116-01-02-04,51359.21759259259
40116-01-02-05,51359.28462962963
40116-01-02-06,51359.3512962963
40116-01-02-07,51359.4175925926
40403-01-01-00,51202.92111111112
40403-01-09-00,51367.27814814815
40403-01-10-00,51588.442777777775
40403-01-11-00,51602.330925925926
40703-01-01-00,51179.06537037037
40703-01-02-00,51186.07314814815
40703-01-05-00,51221.05314814815
40703-01-09-00,51264.91537037037
40703-01-15-01,51325.06703703704
40703-01-15-02,51325.13851851852
40703-01-16-00,51331.9912962963
40703-01-16-01,51332.05925925926
40703-01-16-02,51332.12666666666
40703-01-16-03,51332.192777777775
40703-01-17-00,51336.051666666666
40703-01-17-01,51336.11944444444
40703-01-20-00,51361.88518518519
40703-01-20-01,51361.95018518518
40703-01-21-00,51369.89685185185
40703-01-21-01,51370.03666666667
40703-01-21-02,51369.96611111111
40703-01-41-00,51518.48574074074
40703-01-41-01,51518.55314814815
40703-01-41-02,51518.61981481482
40703-01-41-03,51518.68574074074
40703-01-41-04,51533.549629629626
40703-01-41-05,51533.61981481482
40703-01-42-00,51525.49759259259
40703-01-42-01,51525.60759259259
40703-01-42-02,51525.56648148148
40703-01-42-03,51525.674259259256
40703-01-43-00,51533.48092592593
40703-01-44-00,51540.46592592593
40703-01-44-01,51540.53296296296
40703-01-44-02,51540.60037037037
40703-01-44-03,51546.44814814815
40703-01-45-00,51546.515
40703-01-45-01,51546.581666666665
40703-01-47-00,51560.41703703704
40703-01-49-00,51574.337222222224
40703-01-49-01,51574.40888888889
40703-01-49-02,51574.47888888889
40703-01-50-00,51581.32203703704
40703-01-50-01,51581.46166666667
40703-01-50-02,51581.39111111111
40703-01-51-00,51595.28648148148
40703-01-51-01,51595.421851851854
40703-01-51-02,51595.35574074074
40703-01-51-03,51595.48962962963
50125-01-01-00,51738.26851851852
50125-01-01-01,51738.335185185184
50125-01-01-02,51738.401666666665
50125-01-01-03,51738.47037037037
