observation_ID,frequency,width,norm
10258-01-02-00,0.696,0.091,10.59
10258-01-02-00,0,0,0
10408-01-42-00,4.888,0.79,6.333
10408-01-42-00,0,0,0
10408-01-45-00,3.237,0.632,12.642
10408-01-45-00,0,0,0
20186-03-02-05,4.621,0.882,8.367
20186-03-02-05,0,0,0
20402-01-01-00,4.908,0.735,5.826
20402-01-01-00,0,0,0
20402-01-02-01,4.24,0.648,8.03
20402-01-02-01,0,0,0
20402-01-04-00,4.639,0.919,8.065
20402-01-04-00,0,0,0
20402-01-05-00,2.827,0.441,12.69
20402-01-05-00,0,0,0
20402-01-07-00,3.124,0.725,12.749
20402-01-07-00,0,0,0
20402-01-08-00,3.887,0.791,10.637
20402-01-08-00,0,0,0
20402-01-08-01,3.472,0.762,11.6
20402-01-08-01,0,0,0
20402-01-09-00,2.831,0.559,12.344
20402-01-09-00,0,0,0
20402-01-10-00,2.924,0.624,12.216
20402-01-10-00,0,0,0
20402-01-11-00,2.934,0.588,11.688
20402-01-11-00,0,0,0
20402-01-12-00,2.805,0.556,12.07
20402-01-12-00,0,0,0
20402-01-13-00,3.659,0.904,11.307
20402-01-13-00,0,0,0
20402-01-14-00,3.568,0.867,11.35
20402-01-14-00,0,0,0
20402-01-15-00,2.262,0.4,12.39
20402-01-15-00,0,0,0
20402-01-16-00,2.989,0.534,10.995
20402-01-16-00,0,0,0
20402-01-18-00,3.243,0.569,10.824
20402-01-18-00,0,0,0
20402-01-19-00,2.211,0.327,12.348
20402-01-19-00,0,0,0
20402-01-20-00,3.211,0.543,10.811
20402-01-20-00,0,0,0
20402-01-21-00,3.526,0.682,10.753
20402-01-21-00,0,0,0
20402-01-21-01,3.652,0.771,10.952
20402-01-21-01,0,0,0
20402-01-24-00,2.723,0.556,12.401
20402-01-24-00,0,0,0
20402-01-27-01,4.196,0.823,9.691
20402-01-27-01,0,0,0
20402-01-47-01,5.406,0.568,5.008
20402-01-47-01,0,0,0
20402-01-48-00,4.655,0.9,4.576
20402-01-48-00,0,0,0
20402-01-49-01,2.725,0.327,11.482
20402-01-49-01,0,0,0
20402-01-50-00,0.85,0.109,10.957
20402-01-50-00,0,0,0
20402-01-50-01,1.047,0.141,11.545
20402-01-50-01,0,0,0
20402-01-51-00,1.39,0.147,11.772
20402-01-51-00,0,0,0
30182-01-01-00,2.145,0.349,15.144
30182-01-01-00,0,0,0
30182-01-01-01,1.852,0.145,13.19
30182-01-01-01,0,0,0
30182-01-02-01,2.468,0.253,12.566
30182-01-02-01,0,0,0
30182-01-04-02,2.988,0.289,11.609
30182-01-04-02,0,0,0
30402-01-09-00,1.99,0.294,13.272
30402-01-09-00,0,0,0
30402-01-09-01,2.153,0.237,12.701
30402-01-09-01,0,0,0
30402-01-10-00,1.662,0.214,12.835
30402-01-10-00,0,0,0
30402-01-12-00,1.946,0.212,11.807
30402-01-12-00,0,0,0
30402-01-12-01,1.648,0.143,11.739
30402-01-12-01,0,0,0
30402-01-12-02,1.607,0.139,11.397
30402-01-12-02,0,0,0
30402-01-12-03,1.689,0.195,12.522
30402-01-12-03,0,0,0
30402-01-16-00,2.525,0.35,12.37
30402-01-16-00,0,0,0
30402-01-17-00,3.67,0.805,10.997
30402-01-17-00,0,0,0
30402-01-18-00,2.725,0.507,12.553
30402-01-18-00,0,0,0
30703-01-14-00,1.657,0.269,13.362
30703-01-14-00,0,0,0
30703-01-15-00,1.435,0.191,12.437
30703-01-15-00,0,0,0
30703-01-16-00,1.376,0.159,12.265
30703-01-16-00,0,0,0
30703-01-17-00,0.923,0.098,11.151
30703-01-17-00,0,0,0
30703-01-18-00,3.243,0.554,12.631
30703-01-18-00,0,0,0
30703-01-19-00,1.253,0.117,11.139
30703-01-19-00,0,0,0
30703-01-20-00,0.695,0.084,9.798
30703-01-20-00,0,0,0
30703-01-21-00,1.749,0.124,11.293
30703-01-21-00,0,0,0
30703-01-22-00,2.25,0.291,13.654
30703-01-22-00,0,0,0
30703-01-22-01,2.25,0.23,13.198
30703-01-22-01,0,0,0
30703-01-23-00,3.034,0.42,12.912
30703-01-23-00,0,0,0
30703-01-23-01,2.178,0.255,14.025
30703-01-23-01,0,0,0
30703-01-24-00,2.386,0.379,13.309
30703-01-24-00,0,0,0
30703-01-24-01,2.662,0.431,12.408
30703-01-24-01,0,0,0
30703-01-24-02,2.544,0.386,12.852
30703-01-24-02,0,0,0
30703-01-31-00,3.818,0.799,10.8
30703-01-31-00,0,0,0
30703-01-33-00,3.306,0.755,12.205
30703-01-33-00,0,0,0
30703-01-34-00,1.826,0.283,15.286
30703-01-34-00,0,0,0
30703-01-35-00,2.467,0.423,12.77
30703-01-35-00,0,0,0
30703-01-36-00,3.024,0.625,12.08
30703-01-36-00,0,0,0
30703-01-41-00,2.161,0.239,13.992
30703-01-41-00,0,0,0
40115-01-10-00G,2.137,0.34,12.972
40115-01-10-00G,0,0,0
40115-01-10-01,2.336,0.225,11.952
40115-01-10-01,0,0,0
40115-01-10-02,2.694,0.292,11.822
40115-01-10-02,0,0,0
40116-01-01-00,1.987,0.219,13.905
40116-01-01-00,0,0,0
40116-01-01-01,2.35,0.267,13.339
40116-01-01-01,0,0,0
40116-01-01-02,2.198,0.219,13.571
40116-01-01-02,0,0,0
40116-01-01-03,2.065,0.228,13.603
40116-01-01-03,0,0,0
40116-01-01-04,1.508,0.139,13.112
40116-01-01-04,0,0,0
40116-01-01-05,1.354,0.147,12.948
40116-01-01-05,0,0,0
40116-01-01-06,1.469,0.157,13.105
40116-01-01-06,0,0,0
40116-01-01-07,1.592,0.187,13.724
40116-01-01-07,0,0,0
40116-01-02-00,2.337,0.232,13.898
40116-01-02-00,0,0,0
40116-01-02-01,2.106,0.228,13.532
40116-01-02-01,0,0,0
40116-01-02-02,2.157,0.217,13.775
40116-01-02-02,0,0,0
40116-01-02-03,2.197,0.236,13.991
40116-01-02-03,0,0,0
40116-01-02-04,3.507,0.397,10.961
40116-01-02-04,0,0,0
40116-01-02-05,3.13,0.345,12.352
40116-01-02-05,0,0,0
40116-01-02-06,2.817,0.284,12.596
40116-01-02-06,0,0,0
40116-01-02-07,2.781,0.281,13.049
40116-01-02-07,0,0,0
40403-01-01-00,2.591,0.477,13.395
40403-01-01-00,0,0,0
40403-01-09-00,2.041,0.301,15.198
40403-01-09-00,0,0,0
40403-01-10-00,4.939,0.461,5.927
40403-01-10-00,0,0,0
40403-01-11-00,4.339,0.696,7.927
40403-01-11-00,0,0,0
40703-01-01-00,2.266,0.313,14.413
40703-01-01-00,0,0,0
