observation_ID,MJD
1050360103_0,58005.3035185
1050360103_1,58005.36789349999
1050360103_2,58005.4322454
1050360104_0,58008.4558218
1050360104_1,58008.5201852
1050360104_11,58008.8012153
1050360104_12,58008.84332180001
1050360104_13,58008.9076852
1050360104_14,58008.971794000005
1050360104_5,58008.73285880001
1050360104_6,58008.7405324
1050360104_7,58008.77817130001
1050360104_8,58008.77991900001
1050360104_9,58008.7817477
1050360105_1,58008.9988079
1050360105_15,58009.1218634
1050360105_16,58009.1646412
1050360105_17,58009.182858800006
1050360105_18,58009.2289699
1050360105_19,58009.2933449
1050360105_2,58009.0391088
1050360105_21,58009.422037
1050360105_23,58009.48591440001
1050360105_26,58009.6779977
1050360105_28,58009.80675930001
1050360105_29,58009.8711343
1050360105_4,58009.0634028
1050360106_0,58009.9998148
1050360106_1,58010.0641898
1050360106_2,58010.1285301
1050360106_3,58010.1926505
1050360106_4,58010.2570023
1050360106_5,58010.3213542
1050360106_6,58010.3856944
1050360106_7,58010.45004630001
1050360106_8,58010.4567477
1050360106_9,58010.52158559999
1050360107_0,58011.86532409999
1050360107_1,58011.9296991
1050360108_4,58012.3799306
1050360108_8,58012.515625
1050360108_9,58012.5818866
1050360109_10,58013.9882292
1050360109_2,58013.34517359999
1050360109_3,58013.3459722
1050360109_5,58013.5457755
1050360109_8,58013.7308681
1050360110_0,58014.05261569999
1050360110_3,58014.6958796
1050360110_4,58014.6997222
1050360110_5,58014.824375
1050360110_6,58014.82666669999
1050360111_2,58015.3430903
1050360111_3,58015.5963426
1050360111_6,58015.6674074
1050360112_1,58016.3063542
1050360112_3,58016.9472917
1050360113_0,58017.0116204
1050360113_1,58017.0759722
1050360113_2,58017.14010419999
1050360113_4,58017.2688426
1050360113_7,58017.8477778
1050360114_1,58018.876921300005
1050360114_2,58018.9412731
1050360115_10,58019.4727431
1050360115_12,58019.5372569
1050360115_14,58019.602662
1050360115_15,58019.6688079
1050360115_16,58019.6730556
1050360115_17,58019.733645800006
1050360115_18,58019.7372801
1050360115_19,58019.8001852
1050360115_2,58019.0071181
1050360115_20,58019.8661574
1050360115_21,58019.9232407
1050360115_4,58019.134294
1050360115_6,58019.215544000006
1050360116_1,58020.1160069
1050360116_2,58020.1801273
1050360116_3,58020.2447569
1050360116_4,58020.308831
1050360116_6,58020.3178472
1050360116_7,58020.373414400005
1050360116_8,58020.4377662
1050360117_1,58021.1448727
1050360117_2,58021.153831
1050360117_7,58021.9807755
1050360117_8,58021.9907755
1050360118_0,58022.237963
1050360118_1,58022.4951273
1050360118_3,58022.5537153
1050360118_4,58022.880833300005
1050360118_5,58022.92920140001
1050360119_0,58023.2523148
1050360119_3,58023.7246412
1050360119_4,58023.765081
1050360120_0,58020.5663426
1050360120_2,58020.6976505
1050360120_3,58020.7638079
1050360120_4,58020.8309375
1050360120_5,58020.8877546
1050360120_6,58020.8923495
1050360120_7,58020.9519097
1130360103_0,58026.724213
1130360103_1,58026.7465278
1130360103_2,58026.7509606
1130360103_3,58026.7886921
1130360104_0,58027.7535648
1130360104_1,58027.7733449
1130360105_0,58028.7193403
1130360105_1,58028.73920140001
1130360105_2,58028.7837153
1130360105_3,58028.8512731
1130360106_0,58029.7490278
1130360106_1,58029.81363430001
1130360107_0,58030.71504630001
1130360107_11,58030.7797454
1130360107_12,58030.7824555
1130360107_13,58030.7834856
1130360107_14,58030.7845089
1130360107_15,58030.85526619999
1130360107_6,58030.72554400001
1130360107_7,58030.7270139
1130360108_2,58031.870231500005
1130360109_2,58032.3993056
1130360109_5,58032.83770830001
1130360110_0,58033.02980319999
1130360110_1,58033.2239005
1130360110_3,58033.429664400006
1130360110_6,58033.8054051
1130360111_0,58033.9991435
1130360111_2,58034.1930903
1130360111_3,58034.3937731
1130360113_0,58036.4984375
1130360113_1,58036.6912616
1130360130_4,58136.4066204
1130360130_5,58136.42045140001
1130360130_6,58136.470983800005
1130360130_8,58136.7283565
1130360130_9,58136.8571181
1130360131_0,58137.11447919999
1130360131_1,58137.3077431
1130360131_2,58137.5651852
1130360131_3,58137.6295255
1130360131_4,58137.6939352
1130360131_5,58137.7582523
1130360131_6,58137.8225926
1130360131_7,58137.8873843
1130360131_8,58137.95129630001
1130360132_0,58138.0156481
1130360132_1,58138.08
1130360132_2,58138.2757407
1130360133_0,58139.56423609999
1130360134_0,58140.0171875
1130360135_1,58141.936956
1130360137_0,58151.782858800005
1130360138_0,58175.7774421
1130360138_1,58175.8518866
1130360143_1,58196.8659954
1130360144_4,58197.9012616
1130360144_5,58197.9656019
1130360145_0,58198.0943056
1130360145_2,58198.4808102
1130360145_3,58198.8014699
1130360145_4,58198.93017359999
1130360146_0,58199.0588426
1130360146_1,58199.1875694
1130360146_10,58199.7664931
1130360146_4,58199.37304400001
1130360146_6,58199.4387963
1130360146_7,58199.44417819999
1130360146_8,58199.5096528
1130360146_9,58199.7609722
1130360147_2,58200.8607407
1130360152_0,58210.8006597
1130360152_1,58210.9939699
1130360153_0,58211.0583102
1130360155_0,58213.181713
1130360155_1,58213.2465972
1130360156_0,58214.0215046
1130360156_1,58214.21436340001
1130360156_3,58214.5350579
1130360156_5,58214.59960650001
1130360156_6,58214.66344909999
1130360157_0,58215.2428472
1130360157_2,58215.5650694
