observation_ID,A,B,C,D,E,F
10258-01-02-00,1761.0,4.295454545454546,0.944171,2.27493,7.98857,3.74932
10408-01-42-00,3197.0,5.9657996146435455,1.01387,2.42326,12.2701,4.45424
10408-01-45-00,1756.0,4.9962207105064245,0.65993,2.43785,19.8685,7.12755
20186-03-02-05,2611.0,7.324044301536263,0.731863,2.56586,50.8018,7.22535
20402-01-01-00,2953.0,6.207827260458839,0.732321,2.599,99.2503,7.7694
20402-01-02-01,2249.0,5.490258703289683,0.67577,2.61414,999.523,8.81938
20402-01-04-00,2184.0,5.6033333333333335,0.828082,2.60496,998.365,6.32076
20402-01-05-00,1409.0,4.190821256038647,0.662655,2.54416,999.442,7.62327
20402-01-07-00,1313.0,4.289995592772146,0.690745,2.49231,998.726,6.25598
20402-01-08-00,1318.0,4.839668615984406,0.780938,2.45754,1000.0,4.74116
20402-01-08-01,1233.0,4.49072265625,0.794038,2.4223,1000.0,4.24554
20402-01-09-00,1096.0,4.013466334164589,0.759222,2.3928,987.683,4.14591
20402-01-10-00,986.2,4.036789297658863,0.796592,2.3526,999.998,3.45917
20402-01-11-00,907.4,4.003610108303249,0.774532,2.32163,1000.0,3.26042
20402-01-12-00,884.7,3.869461077844312,0.785516,2.29503,999.818,2.94369
20402-01-13-00,936.5,4.482028241335044,0.615666,2.32436,1000.0,4.01847
20402-01-14-00,908.5,4.422120418848167,0.856116,2.26867,1000.0,2.34172
20402-01-15-00,811.8,3.5071942446043165,0.64849,2.29405,1000.0,3.38478
20402-01-16-00,796.2,3.9305461901550895,0.867623,2.22881,997.914,2.06385
20402-01-18-00,840.5,4.114873837981408,0.694183,2.26099,1000.0,2.83053
20402-01-19-00,755.2,3.468071519795658,0.644939,2.2531,1000.0,2.98813
20402-01-20-00,803.9,4.084886128364389,0.695834,2.24039,1000.0,2.62427
20402-01-21-00,787.8,4.32468495181616,0.885634,2.18613,1000.0,1.75491
20402-01-21-01,795.1,4.430711610486892,0.76976,2.21173,1000.0,2.14765
20402-01-24-00,947.0,3.820342730790492,0.764665,2.21241,1000.0,2.16514
20402-01-27-01,1260.0,4.997904662126768,0.777342,2.21484,1000.0,2.13388
20402-01-47-01,3024.0,7.909511228533685,0.906126,2.18191,999.991,1.67719
20402-01-48-00,3863.0,7.823768410360589,0.739878,2.23,1000.0,2.36179
20402-01-49-01,1818.0,5.598874598070739,0.864181,2.20521,1000.0,1.8818
20402-01-50-00,1514.0,4.356925418569254,0.699203,2.25246,1000.0,2.65917
20402-01-50-01,1514.0,4.553006329113924,0.862348,2.21447,999.991,1.94388
20402-01-51-00,1504.0,4.759535655058043,0.837411,2.22478,999.998,2.06943
30182-01-01-00,1445.0,4.710424710424711,0.841887,2.22485,999.078,2.07206
30182-01-01-01,1380.0,4.507346585998271,0.838547,2.22884,1000.0,2.10055
30182-01-02-01,1598.0,5.055808185200496,0.841311,2.23176,999.806,2.10683
30182-01-04-02,1734.0,5.256916996047431,0.636813,2.28203,1000.0,3.2314
30402-01-09-00,2005.0,6.049904030710173,0.592556,2.29376,1000.0,3.60411
30402-01-09-01,2016.0,6.179906542056075,0.813338,2.25774,991.62,2.32742
30402-01-10-00,1996.0,5.799628942486085,0.805798,2.26219,999.509,2.39117
30402-01-12-00,1776.0,5.632885632885633,0.780514,2.27434,1000.0,2.55161
30402-01-12-01,1771.0,5.365091761030847,0.773437,2.28072,1000.0,2.61861
30402-01-12-02,1769.0,5.324020178502135,0.76188,2.28727,999.603,2.70819
30402-01-12-03,1762.0,5.392195506503745,0.453977,2.33447,1000.0,5.28161
30402-01-16-00,1307.0,4.17971758664955,0.774865,2.29091,1000.0,2.68209
30402-01-17-00,1563.0,5.044247787610619,0.775259,2.29225,1000.0,2.69774
30402-01-18-00,1098.0,4.264797507788162,0.447347,2.33662,1000.0,5.41456
30703-01-14-00,1965.0,5.736173393124066,0.766758,2.29656,999.895,2.76966
30703-01-15-00,1948.0,5.560044069041498,0.415226,2.34412,1000.0,5.94888
30703-01-16-00,1839.0,5.301115241635688,0.402817,2.34696,1000.0,6.17577
30703-01-17-00,1765.0,4.770965468639887,0.393158,2.34859,1000.0,6.36084
30703-01-18-00,1953.0,6.007874015748032,0.682545,2.32235,999.969,3.41565
30703-01-19-00,1613.0,4.764478764478764,0.371459,2.35423,1000.0,6.7993
30703-01-20-00,1536.0,4.17507204610951,0.362048,2.35426,1000.0,6.97466
30703-01-21-00,1623.0,5.112382509194933,0.681435,2.32867,999.999,3.50169
30703-01-22-00,1551.0,5.057324840764331,0.628341,2.33765,1000.0,3.93512
30703-01-22-01,1551.0,5.027484143763213,0.668337,2.33611,1000.0,3.65034
30703-01-23-00,1755.0,5.158699808795412,0.335524,2.36427,1000.0,7.62143
30703-01-23-01,1416.0,4.671596346237495,0.33255,2.36567,1000.0,7.70638
30703-01-24-00,1210.0,4.095541401273885,0.333776,2.36382,1000.0,7.66495
30703-01-24-01,1208.0,4.293922127255461,0.688357,2.33513,1000.0,3.53592
30703-01-24-02,1178.0,4.27405247813411,0.334562,2.36336,1000.0,7.64539
30703-01-31-00,1670.0,5.248979591836735,0.333855,2.36534,1000.0,7.70725
30703-01-33-00,1405.0,4.8173207036535866,0.336146,2.36597,1000.0,7.69388
30703-01-34-00,1023.0,3.640252795333009,0.686517,2.3335,999.82,3.55016
30703-01-35-00,1216.0,4.068253255500673,0.673869,2.33501,1000.0,3.64603
30703-01-36-00,1311.0,4.493181818181818,0.328315,2.36073,1000.0,7.74614
30703-01-41-00,1234.0,3.981328701693443,0.692391,2.33082,1000.0,3.51174
40115-01-10-00G,1635.0,5.275150472914875,0.662846,2.33658,1000.0,3.75135
40115-01-10-01,1664.0,5.4696373962429,0.671444,2.33723,999.731,3.70103
40115-01-10-02,1760.0,5.705100728675525,0.663189,2.34073,999.86,3.78685
40116-01-01-00,1373.0,4.522747546833185,0.306627,2.36604,1000.0,8.2632
40116-01-01-01,1458.0,4.854716137684399,0.632324,2.34732,1000.0,4.06653
40116-01-01-02,1431.0,4.745762711864408,0.299147,2.36821,1000.0,8.45134
40116-01-01-03,1400.0,4.600355239786857,0.293695,2.36894,1000.0,8.56851
40116-01-01-04,1268.0,4.156739811912225,0.286902,2.36886,1000.0,8.69033
40116-01-01-05,1230.0,4.060153776571688,0.656362,2.34459,997.559,3.88355
40116-01-01-06,1247.0,4.09433962264151,0.634298,2.34695,1000.0,4.06802
40116-01-01-07,1268.0,4.210597826086956,0.265016,2.3677,1000.0,9.05831
40116-01-02-00,1475.0,4.788671023965142,0.574623,2.35237,1000.0,4.61906
40116-01-02-01,1408.0,4.661319073083779,0.261014,2.36935,1000.0,9.17943
40116-01-02-02,1431.0,4.66198419666374,0.255823,2.37015,1000.0,9.29365
40116-01-02-03,1442.0,4.676855895196507,0.254265,2.3707,1000.0,9.34404
40116-01-02-04,2086.0,5.545805545805546,0.522904,2.35871,1000.0,5.21573
40116-01-02-05,1843.0,5.33230887437572,0.251276,2.37312,1000.0,9.48595
40116-01-02-06,1709.0,5.130052020808323,0.247078,2.37428,1000.0,9.59743
40116-01-02-07,1698.0,5.137096774193548,0.584808,2.3599,1000.0,4.63727
40403-01-01-00,1341.0,4.236930860033727,0.244898,2.3749,1000.0,9.67686
40403-01-09-00,1356.0,4.48005378753922,0.2445,2.37427,1000.0,9.68318
40403-01-10-00,3373.0,6.1816452686638135,0.570913,2.359,999.999,4.78535
40403-01-11-00,2482.0,5.656203288490284,0.244496,2.37454,1000.0,9.74297
40703-01-01-00,1285.0,4.131295738269479,0.245855,2.37306,1000.0,9.69932
40703-01-02-00,1881.0,5.02787456445993,0.516621,2.35987,1000.0,5.39271
40703-01-05-00,1604.0,5.451754385964913,0.244959,2.37385,1000.0,9.78104
40703-01-09-00,1432.0,4.438367690366007,0.244354,2.37354,1000.0,9.79834
40703-01-15-01,1386.0,4.737084870848708,0.505553,2.3622,1000.0,5.56117
40703-01-15-02,1480.0,4.8695267580716495,0.241267,2.37498,1000.0,9.8969
40703-01-16-00,1435.0,4.62440295267043,0.239653,2.3754,1000.0,9.94351
