filename_code,MET_start,MET_end,MJD_mid,interval_time(s),ObsID(RXTE),number_PCUs,which_PCUs(string),spec_filename,spec_MJD,spec_exposure(s),PCA_crate_raw(c/s/PCU),PCA_crate_normalized(c/s/PCU),soft_color(3.6-5.0/2.2-3.6_keV),err_soft_col,hard_color(8.6-18.0/5.0-8.6_keV),err_hard_col,PDS_name,PDS_integrated_rms_(0.1_10Hz),err_PDS_rms,PDS_low_chan_PCU2_0_255,PDS_high_chan_PCU2_0_255,PDS_source_crate(c/s/PCU),sample_std_dev_PDS_source_crate(c/s/PCU),deadtime_correction,average_pointing_offset(deg)
d0803_a,69420330.38,69421205.38,50156.48111,875,10404-01-01-00,5,1234,bs.s1655_0803_a.2.pha,50156.48115,864,0.64,1.14,1.113,0.422,0.459,0.25,seg0803_a_rsfft.asc,0.5619,0.0823,1,94,-2.67,1.758,1.023,0.002
d0859a_a,74244739.38,74246034.38,50212.32161,1295,10255-01-01-00,4,123,bs.s1655_0859a_a.2.pha,50212.32152,1280,3726.02,3625.9,0.894,0.005,0.104,0.005,seg0859a_a_rsfft.asc,0.0385,0.0008,1,72,3696.344,132.292,1.069,0.006
d0859a_b,74247620.38,74247898.38,50212.34907,278,10255-01-01-00,4,123,bs.s1655_0859a_b.2.pha,50212.34911,256,3802.01,3699.2,0.905,0.005,0.106,0.005,seg0859a_b_rsfft.asc,0.0369,0.0007,1,72,3759.566,140.624,1.067,0.005
d0859a_c,74250147.38,74252098.38,50212.388,1951,10255-01-01-00,4,123,bs.s1655_0859a_c.2.pha,50212.38791,1936,3788.18,3686.1,0.909,0.005,0.107,0.005,seg0859a_c_rsfft.asc,0.0395,0.0006,1,72,3755.706,145.304,1.07,0.006
d0859a_d,74253380.38,74253658.38,50212.41573,278,10255-01-01-00,4,123,bs.s1655_0859a_d.2.pha,50212.41578,256,3692.35,3592.8,0.904,0.005,0.105,0.005,seg0859a_d_rsfft.asc,0.0389,0.0006,1,72,3663.718,122.265,1.065,0.005
d0859a_e,74255907.38,74258370.38,50212.45763,2463,10255-01-01-00,4,123,bs.s1655_0859a_e.2.pha,50212.45753,2448,3641.6,3543.1,0.904,0.005,0.104,0.005,seg0859a_e_rsfft.asc,0.0377,0.0006,1,72,3607.821,129.992,1.069,0.006
d0859b_a,74262836.38,74263322.38,50212.52638,486,10255-01-01-01,4,123,bs.s1655_0859b_a.2.pha,50212.52638,0,0,0,-99,99,-99,99,seg0859b_a_rsfft.asc,0.0386,0.0012,1,94,3724.37,118.008,1.076,0.006
d0859c_a,74275508.38,74276698.38,50212.67712,1190,10255-01-01-02,3,12,bs.s1655_0859c_a.2.pha,50212.67716,1168,3748.52,3647.91,0.901,0.005,0.105,0.005,seg0859c_a_rsfft.asc,0.038,0.0009,1,94,3739.829,132.959,1.065,0.005
d0859c_b,74278947.38,74281538.38,50212.72503,2591,10255-01-01-02,3,12,bs.s1655_0859c_b.2.pha,50212.72494,2560,3618.11,3519.63,0.895,0.005,0.104,0.005,seg0859c_b_rsfft.asc,0.0381,0.0006,1,94,3610.599,123.85,1.074,0.006
d0859c_c,74281668.38,74282458.38,50212.7461,790,10255-01-01-02,3,12,bs.s1655_0859c_c.2.pha,50212.74615,768,3639.69,3541.13,0.902,0.005,0.102,0.005,seg0859c_c_rsfft.asc,0.0393,0.0011,1,94,3631.84,131.013,1.063,0.005
