observation_ID,date,frequency,frequency_err,width,width_err,rms,rms_err
10258-01-02-00,50293.76,0.696,0.002,0.091,0.005,10.590,0.260
10408-01-22-00,50275.08,3.479,0.005,0.363,0.016,10.202,0.134
10408-01-22-01,50275.22,2.777,0.005,0.371,0.011,11.799,0.120
10408-01-22-02,50275.35,2.555,0.005,0.346,0.012,11.855,0.134
10408-01-25-00,50283.49,1.118,0.002,0.148,0.007,12.086,0.226
10408-01-27-00,50290.57,0.631,0.002,0.068,0.004,9.422,0.204
10408-01-33-00,50333.75,5.404,0.010,1.120,0.040,5.525,0.089
10408-01-42-00,50379.15,4.888,0.007,0.790,0.021,6.333,0.060
10408-01-45-00,50385.49,3.237,0.004,0.632,0.012,12.642,0.112
20402-01-01-00,50394.23,4.908,0.007,0.735,0.018,5.826,0.032
20402-01-02-01,50401.09,4.240,0.011,0.648,0.029,8.030,0.123
80188-01-01-00,53084.36,0.983,0.005,0.096,0.017,10.636,0.646
80188-01-01-01,53084.22,0.927,0.004,0.090,0.008,11.131,0.373
80188-01-01-02,53084.43,0.993,0.004,0.107,0.011,11.949,0.408
80188-01-01-03,53084.29,0.913,0.006,0.081,0.014,10.724,0.625
80188-01-01-04,53084.49,0.962,0.005,0.069,0.010,10.135,0.503
80188-02-01-00,53094.58,0.808,0.001,0.091,0.004,10.468,0.171
80188-03-01-01,53103.11,0.799,0.004,0.080,0.008,9.344,0.307
90108-01-02-00,53124.07,2.321,0.007,0.170,0.014,11.976,0.297
80127-02-01-01,52739.53,1.054,0.004,0.128,0.011,12.505,0.365
80127-02-02-00,52739.21,1.097,0.004,0.121,0.011,12.384,0.410
80127-02-02-01,52739.07,1.030,0.004,0.103,0.013,11.856,0.564
80127-02-02-02,52739.01,1.076,0.004,0.130,0.010,12.761,0.396
80127-02-03-00,52739.27,1.088,0.002,0.152,0.005,13.233,0.163
80127-05-05-00,53140.01,4.115,0.010,0.472,0.027,9.317,0.162
80127-05-05-01,53140.15,3.762,0.009,0.362,0.026,9.634,0.200
80127-05-05-02,53140.08,3.977,0.009,0.471,0.021,9.800,0.164
90105-01-03-00,53140.21,4.809,0.017,0.685,0.054,7.016,0.216
90105-01-03-01,53140.28,4.968,0.008,0.806,0.026,6.728,0.089
90105-02-01-00,53139.03,5.186,0.018,0.549,0.050,5.462,0.153
90105-02-01-01,53139.16,5.707,0.026,0.924,0.087,4.825,0.172
90105-02-01-02,53139.23,5.086,0.018,0.655,0.060,6.193,0.203
90105-02-02-00,53139.30,5.085,0.020,0.721,0.045,6.447,0.143
90105-02-03-00,53139.10,5.316,0.024,0.804,0.065,5.471,0.190
90105-02-04-00,53852.15,4.176,0.009,0.504,0.025,10.071,0.175
90105-02-05-00,53996.15,3.974,0.008,0.615,0.010,10.324,0.075
90105-05-03-00,53442.96,0.897,0.004,0.115,0.012,11.943,0.329
90105-05-03-01,53443.03,0.968,0.004,0.098,0.011,11.610,0.355
90105-05-03-02,53443.10,0.974,0.003,0.069,0.009,10.821,0.435
90105-05-03-03,53443.24,0.970,0.004,0.074,0.008,10.374,0.411
90105-05-03-04,53444.02,1.391,0.004,0.146,0.012,12.548,0.297
90105-05-03-05,53444.08,1.307,0.004,0.155,0.012,12.750,0.299
90105-07-01-00,53472.92,4.014,0.004,0.521,0.010,10.583,0.072
90105-07-02-00,53473.05,3.885,0.005,0.631,0.012,11.135,0.074
90105-07-03-00,53473.97,4.093,0.007,0.576,0.018,10.677,0.115
90105-09-02-00,54025.42,2.870,0.004,0.264,0.012,13.678,0.187
90105-09-05-00,54058.95,3.882,0.007,0.439,0.017,10.319,0.139
90105-09-06-00,54166.94,2.975,0.004,0.121,0.009,12.677,0.303
90105-09-07-00,54173.16,2.270,0.008,0.201,0.016,13.156,0.312
90105-09-08-01,54177.39,2.996,0.007,0.263,0.016,12.409,0.264
90105-10-01-00,54187.87,2.152,0.004,0.088,0.005,13.708,0.254
90105-10-05-00,54214.57,3.748,0.008,0.447,0.017,11.151,0.163
90105-10-06-00,54226.62,2.047,0.002,0.056,0.004,15.393,0.370
90105-10-07-00,54232.44,2.144,0.003,0.066,0.005,15.342,0.424
20186-03-02-05,50708.06,4.621,0.014,0.882,0.041,8.367,0.127
20402-01-04-00,50415.13,4.639,0.007,0.919,0.020,8.065,0.066
20402-01-05-00,50421.97,2.827,0.004,0.441,0.014,12.690,0.140
20402-01-07-00,50436.65,3.124,0.006,0.725,0.022,12.749,0.171
20402-01-08-00,50441.91,3.887,0.007,0.791,0.021,10.637,0.092
20402-01-08-01,50442.12,3.472,0.009,0.762,0.034,11.600,0.221
20402-01-09-00,50448.28,2.831,0.005,0.559,0.014,12.344,0.102
20402-01-10-00,50455.98,2.924,0.005,0.624,0.014,12.216,0.095
20402-01-11-00,50462.06,2.934,0.006,0.588,0.028,11.688,0.220
20402-01-12-00,50471.06,2.805,0.005,0.556,0.022,12.070,0.183
20402-01-13-00,50477.87,3.659,0.007,0.904,0.027,11.307,0.164
20402-01-14-00,50480.87,3.568,0.007,0.867,0.029,11.350,0.171
20402-01-15-00,50488.78,2.262,0.004,0.400,0.016,12.390,0.203
20402-01-16-00,50501.88,2.989,0.007,0.534,0.025,10.995,0.206
20402-01-18-00,50512.88,3.243,0.009,0.569,0.034,10.824,0.245
20402-01-19-00,50517.04,2.211,0.004,0.327,0.014,12.348,0.183
20402-01-20-00,50524.92,3.211,0.006,0.543,0.011,10.811,0.160
20402-01-21-00,50533.83,3.526,0.010,0.682,0.039,10.753,0.250
20402-01-21-01,50534.90,3.652,0.011,0.771,0.044,10.952,0.262
20402-01-24-00,50561.13,2.723,0.007,0.556,0.026,12.401,0.233
20402-01-27-01,50576.67,4.196,0.013,0.823,0.039,9.691,0.173
20402-01-47-01,50710.00,5.406,0.022,0.568,0.104,5.008,0.426
20402-01-48-00,50720.59,4.655,0.011,0.900,0.040,4.576,0.067
20402-01-49-01,50730.39,2.725,0.005,0.327,0.012,11.482,0.131
20402-01-50-00,50735.54,0.850,0.004,0.109,0.010,10.957,0.319
20402-01-50-01,50737.40,1.047,0.003,0.141,0.007,11.545,0.173
20402-01-51-00,50743.29,1.390,0.002,0.147,0.006,11.772,0.204
30182-01-01-00,51002.20,2.145,0.003,0.349,0.008,15.144,0.133
30182-01-01-01,51002.16,1.852,0.009,0.145,0.019,13.190,0.585
30182-01-02-01,51003.16,2.468,0.014,0.253,0.023,12.566,0.448
30182-01-04-02,51006.17,2.988,0.011,0.289,0.019,11.609,0.335
30402-01-09-00,50912.88,1.990,0.004,0.294,0.010,13.272,0.169
30402-01-09-01,50913.00,2.153,0.004,0.237,0.011,12.701,0.180
30402-01-10-00,50914.39,1.662,0.003,0.214,0.007,12.835,0.164
30402-01-12-00,50944.94,1.946,0.007,0.212,0.015,11.807,0.305
30402-01-12-01,50945.01,1.648,0.005,0.143,0.014,11.739,0.462
30402-01-12-02,50945.08,1.607,0.005,0.139,0.011,11.397,0.319
30402-01-12-03,50945.15,1.689,0.006,0.195,0.012,12.522,0.150
30402-01-16-00,51053.69,2.525,0.008,0.350,0.024,12.370,0.297
