observation_ID,frequency,width,rms
10258-01-02-00,0.696,0.091,10.59
10408-01-42-00,4.888,0.79,6.333
10408-01-45-00,3.237,0.632,12.642
20186-03-02-05,4.621,0.882,8.367
20402-01-01-00,4.908,0.735,5.826
20402-01-02-01,4.24,0.648,8.03
20402-01-04-00,4.639,0.919,8.065
20402-01-05-00,2.827,0.441,12.69
20402-01-07-00,3.124,0.725,12.749
20402-01-08-00,3.887,0.791,10.637
20402-01-08-01,3.472,0.762,11.6
20402-01-09-00,2.831,0.559,12.344
20402-01-10-00,2.924,0.624,12.216
20402-01-11-00,2.934,0.588,11.688
20402-01-12-00,2.805,0.556,12.07
20402-01-13-00,3.659,0.904,11.307
20402-01-14-00,3.568,0.867,11.35
20402-01-15-00,2.262,0.4,12.39
20402-01-16-00,2.989,0.534,10.995
20402-01-18-00,3.243,0.569,10.824
20402-01-19-00,2.211,0.327,12.348
20402-01-20-00,3.211,0.543,10.811
20402-01-21-00,3.526,0.682,10.753
20402-01-21-01,3.652,0.771,10.952
20402-01-24-00,2.723,0.556,12.401
20402-01-27-01,4.196,0.823,9.691
20402-01-47-01,5.406,0.568,5.008
20402-01-48-00,4.655,0.9,4.576
20402-01-49-01,2.725,0.327,11.482
20402-01-50-00,0.85,0.109,10.957
20402-01-50-01,1.047,0.141,11.545
20402-01-51-00,1.39,0.147,11.772
30182-01-01-00,2.145,0.349,15.144
30182-01-01-01,1.852,0.145,13.19
30182-01-02-01,2.468,0.253,12.566
30182-01-04-02,2.988,0.289,11.609
30402-01-09-00,1.99,0.294,13.272
30402-01-09-01,2.153,0.237,12.701
30402-01-10-00,1.662,0.214,12.835
30402-01-12-00,1.946,0.212,11.807
30402-01-12-01,1.648,0.143,11.739
30402-01-12-02,1.607,0.139,11.397
30402-01-12-03,1.689,0.195,12.522
30402-01-16-00,2.525,0.35,12.37
30402-01-17-00,3.67,0.805,10.997
30402-01-18-00,2.725,0.507,12.553
30703-01-14-00,1.657,0.269,13.362
30703-01-15-00,1.435,0.191,12.437
30703-01-16-00,1.376,0.159,12.265
30703-01-17-00,0.923,0.098,11.151
30703-01-18-00,3.243,0.554,12.631
30703-01-19-00,1.253,0.117,11.139
30703-01-20-00,0.695,0.084,9.798
30703-01-21-00,1.749,0.124,11.293
30703-01-22-00,2.25,0.291,13.654
30703-01-22-01,2.25,0.23,13.198
30703-01-23-00,3.034,0.42,12.912
30703-01-23-01,2.178,0.255,14.025
30703-01-24-00,2.386,0.379,13.309
30703-01-24-01,2.662,0.431,12.408
30703-01-24-02,2.544,0.386,12.852
30703-01-31-00,3.818,0.799,10.8
30703-01-33-00,3.306,0.755,12.205
30703-01-34-00,1.826,0.283,15.286
30703-01-35-00,2.467,0.423,12.77
30703-01-36-00,3.024,0.625,12.08
30703-01-41-00,2.161,0.239,13.992
40115-01-10-00G,2.137,0.34,12.972
40115-01-10-01,2.336,0.225,11.952
40115-01-10-02,2.694,0.292,11.822
40116-01-01-00,1.987,0.219,13.905
40116-01-01-01,2.35,0.267,13.339
40116-01-01-02,2.198,0.219,13.571
40116-01-01-03,2.065,0.228,13.603
40116-01-01-04,1.508,0.139,13.112
40116-01-01-05,1.354,0.147,12.948
40116-01-01-06,1.469,0.157,13.105
40116-01-01-07,1.592,0.187,13.724
40116-01-02-00,2.337,0.232,13.898
40116-01-02-01,2.106,0.228,13.532
40116-01-02-02,2.157,0.217,13.775
40116-01-02-03,2.197,0.236,13.991
40116-01-02-04,3.507,0.397,10.961
40116-01-02-05,3.13,0.345,12.352
40116-01-02-06,2.817,0.284,12.596
40116-01-02-07,2.781,0.281,13.049
40403-01-01-00,2.591,0.477,13.395
40403-01-09-00,2.041,0.301,15.198
40403-01-10-00,4.939,0.461,5.927
40403-01-11-00,4.339,0.696,7.927
40703-01-01-00,2.266,0.313,14.413
40703-01-02-00,3.575,0.74,10.992
40703-01-05-00,4.204,0.842,9.641
40703-01-09-00,2.781,0.371,12.668
40703-01-15-01,2.197,0.216,13.573
40703-01-15-02,2.346,0.207,13.252
40703-01-16-00,1.849,0.21,13.587
40703-01-16-01,1.816,0.241,13.776
40703-01-16-02,1.762,0.189,13.086
40703-01-16-03,1.726,0.177,13.077
40703-01-17-00,2.766,0.326,13.123
40703-01-17-01,2.861,0.412,12.798
40703-01-20-00,5.113,0.598,5.287
40703-01-20-01,5.616,0.686,4.314
40703-01-21-00,2.354,0.193,13.936
40703-01-21-01,2.441,0.29,14.46
40703-01-21-02,2.562,0.25,12.856
40703-01-41-00,1.475,0.187,12.368
40703-01-41-01,1.505,0.165,11.696
40703-01-41-02,1.58,0.171,11.748
40703-01-41-03,1.639,0.18,11.15
40703-01-41-04,1.994,0.275,12.424
40703-01-41-05,1.91,0.168,11.762
40703-01-42-00,1.424,0.101,11.037
40703-01-42-01,1.35,0.219,11.523
40703-01-42-02,1.338,0.128,11.787
40703-01-42-03,1.312,0.138,11.82
40703-01-43-00,2.109,0.208,11.902
40703-01-44-00,2.47,0.243,11.797
40703-01-44-01,2.285,0.235,11.635
40703-01-44-02,2.336,0.324,12.309
40703-01-44-03,1.517,0.131,11.9
40703-01-45-00,1.638,0.206,12.597
40703-01-45-01,1.73,0.214,12.194
40703-01-47-00,2.082,0.283,13.725
40703-01-49-00,2.389,0.243,13.777
40703-01-49-01,2.185,0.245,14.739
40703-01-49-02,2.223,0.207,13.395
40703-01-50-00,2.141,0.228,14.274
40703-01-50-01,2.151,0.236,14.182
40703-01-50-02,2.045,0.202,13.728
40703-01-51-00,3.255,0.472,12.236
40703-01-51-01,2.694,0.337,13.841
40703-01-51-02,2.962,0.35,12.394
40703-01-51-03,2.611,0.249,13.478
50125-01-01-00,3.187,0.338,12.244
50125-01-01-01,3.617,0.437,10.863
50125-01-01-02,3.419,0.396,11.636
50125-01-01-03,3.025,0.35,12.76
50125-01-01-04,2.772,0.322,12.928
50125-01-02-00,2.138,0.263,15.267
50125-01-02-01,2.26,0.176,13.726
50125-01-02-02,2.293,0.2,14.211
50125-01-03-00,3.267,0.656,13.062
50405-01-02-00,2.142,0.28,12.966
50405-01-02-01,2.164,0.298,13.133
50405-01-02-02,2.38,0.378,12.791
50405-01-03-00,2.89,0.486,11.947
50703-01-08-00,3.394,0.745,11.697
50703-01-17-00,2.959,0.3,12.442
50703-01-17-01,2.787,0.329,12.635
50703-01-17-02,2.73,0.308,12.652
50703-01-18-00,3.08,0.413,12.532
50703-01-18-01,2.548,0.268,13.316
50703-01-18-02,2.725,0.296,13.392
50703-01-18-03,2.662,0.3,13.602
50703-01-19-03,4.654,0.478,6.53
50703-01-21-00,2.027,0.183,13.944
50703-01-21-01,2.062,0.247,14.878
50703-01-21-02,2.042,0.205,14.609
50703-01-24-01,4.09,0.588,8.52
50703-01-25-00,2.479,0.299,14.074
50703-01-25-01,3.088,0.457,12.178
50703-01-25-02,2.546,0.292,13.418
50703-01-27-03,3.787,0.62,9.863
50703-01-28-00,3.73,0.727,10.296
50703-01-28-01,3.523,0.729,11.06
50703-01-28-02,3.348,0.664,11.88
50703-01-40-01,5.695,0.68,4.353
50703-01-40-02,5.23,0.529,5.004
50703-01-40-03,5.23,0.53,5.128
50703-01-41-00,6.229,0.876,3.797
50703-01-41-01,4.927,0.66,6.107
50703-01-41-02,4.278,0.513,8.461
50703-01-41-03,4.094,0.456,9.25
50703-01-42-00,2.004,0.144,12.379
50703-01-42-01,2.016,0.143,11.833
50703-01-42-02,2.055,0.126,12.415
50703-01-43-00,1.334,0.14,12.117
50703-01-43-01,1.33,0.174,12.423
50703-01-43-02,1.326,0.132,12.231
50703-01-44-01,2.551,0.299,13.239
50703-01-45-00,3.705,0.369,9.562
50703-01-45-01,4.012,0.476,8.698
50703-01-46-00,2.715,0.311,12.901
50703-01-46-01,3.226,0.347,11.704
50703-01-46-02,3.736,0.45,10.329
50703-01-48-00,5.239,0.686,5.544
50703-01-49-00,2.613,0.301,12.826
50703-01-50-00,1.57,0.153,14.599
50703-01-50-01,1.562,0.152,14.591
50703-01-50-02,1.617,0.155,14.113
