observation_ID,hardness_ratio
10258-01-02-00,4.295454545454546
10408-01-42-00,5.9657996146435455
10408-01-45-00,4.9962207105064245
20186-03-02-05,7.324044301536263
20402-01-01-00,6.207827260458839
20402-01-02-01,5.490258703289683
20402-01-04-00,5.6033333333333335
20402-01-05-00,4.190821256038647
20402-01-07-00,4.289995592772146
20402-01-08-00,4.839668615984406
20402-01-08-01,4.49072265625
20402-01-09-00,4.013466334164589
20402-01-10-00,4.036789297658863
20402-01-11-00,4.003610108303249
20402-01-12-00,3.8694610778443117
20402-01-13-00,4.482028241335044
20402-01-14-00,4.422120418848167
20402-01-15-00,3.5071942446043165
20402-01-16-00,3.9305461901550904
20402-01-18-00,4.114873837981408
20402-01-19-00,3.468071519795658
20402-01-20-00,4.084886128364389
20402-01-21-00,4.32468495181616
20402-01-21-01,4.430711610486892
20402-01-24-00,3.820342730790492
20402-01-27-01,4.997904662126768
20402-01-47-01,7.9095112285336855
20402-01-48-00,7.823768410360589
20402-01-49-01,5.598874598070739
20402-01-50-00,4.356925418569254
20402-01-50-01,4.553006329113924
20402-01-51-00,4.759535655058043
30182-01-01-00,4.710424710424711
30182-01-01-01,4.507346585998271
30182-01-02-01,5.055808185200496
30182-01-04-02,5.256916996047431
30402-01-09-00,6.049904030710173
30402-01-09-01,6.179906542056075
30402-01-10-00,5.799628942486085
30402-01-12-00,5.632885632885633
30402-01-12-01,5.365091761030847
30402-01-12-02,5.324020178502135
30402-01-12-03,5.392195506503745
30402-01-16-00,4.17971758664955
30402-01-17-00,5.044247787610619
30402-01-18-00,4.264797507788162
30703-01-14-00,5.736173393124066
30703-01-15-00,5.560044069041498
30703-01-16-00,5.301115241635688
30703-01-17-00,4.770965468639887
30703-01-18-00,6.0078740157480315
30703-01-19-00,4.764478764478764
30703-01-20-00,4.17507204610951
30703-01-21-00,5.112382509194933
30703-01-22-00,5.057324840764331
30703-01-22-01,5.027484143763213
30703-01-23-00,5.1586998087954115
30703-01-23-01,4.671596346237495
30703-01-24-00,4.095541401273885
30703-01-24-01,4.293922127255461
30703-01-24-02,4.27405247813411
30703-01-31-00,5.248979591836735
30703-01-33-00,4.8173207036535866
30703-01-34-00,3.640252795333009
30703-01-35-00,4.068253255500673
30703-01-36-00,4.493181818181818
30703-01-41-00,3.981328701693443
40115-01-10-00G,5.275150472914875
40115-01-10-01,5.4696373962429
40115-01-10-02,5.705100728675525
40116-01-01-00,4.522747546833185
40116-01-01-01,4.854716137684399
40116-01-01-02,4.7457627118644075
40116-01-01-03,4.600355239786857
40116-01-01-04,4.156739811912225
40116-01-01-05,4.0601537765716875
40116-01-01-06,4.09433962264151
40116-01-01-07,4.210597826086956
40116-01-02-00,4.788671023965142
40116-01-02-01,4.661319073083779
40116-01-02-02,4.66198419666374
40116-01-02-03,4.676855895196507
40116-01-02-04,5.545805545805546
40116-01-02-05,5.33230887437572
40116-01-02-06,5.130052020808323
40116-01-02-07,5.137096774193548
40403-01-01-00,4.236930860033727
40403-01-09-00,4.48005378753922
40403-01-10-00,6.1816452686638135
40403-01-11-00,5.656203288490284
40703-01-01-00,4.131295738269479
40703-01-02-00,5.02787456445993
40703-01-05-00,5.451754385964913
40703-01-09-00,4.438367690366007
40703-01-15-01,4.737084870848708
40703-01-15-02,4.8695267580716495
40703-01-16-00,4.62440295267043
40703-01-16-01,4.578260869565217
40703-01-16-02,4.521739130434782
40703-01-16-03,4.508948057616761
40703-01-17-00,5.2435064935064934
40703-01-17-01,5.341639871382636
40703-01-20-00,6.569950517318938
40703-01-20-01,6.7318599647956185
40703-01-21-00,4.648602878916173
40703-01-21-01,4.742398648648648
40703-01-21-02,4.767536704730833
40703-01-41-00,5.152501016673444
40703-01-41-01,5.103869653767821
40703-01-41-02,5.1565677104514025
40703-01-41-03,5.243851604835348
40703-01-41-04,5.17415023080151
40703-01-41-05,5.083612040133779
40703-01-42-00,4.865635179153094
40703-01-42-01,4.6835443037974684
40703-01-42-02,4.721013058963198
40703-01-42-03,4.68937875751503
40703-01-43-00,5.248849853617734
40703-01-44-00,5.622280243690165
40703-01-44-01,5.434687636522499
40703-01-44-02,5.478977026441266
40703-01-44-03,4.585659081150708
40703-01-45-00,4.644855789926819
40703-01-45-01,4.71229293809939
40703-01-47-00,4.7571115973741795
40703-01-49-00,4.771404821280133
40703-01-49-01,4.592183517417162
40703-01-49-02,4.62379150903741
40703-01-50-00,4.442993907745866
40703-01-50-01,4.4853593611357585
40703-01-50-02,4.412811387900356
40703-01-51-00,4.878137504547109
40703-01-51-01,4.601990049751244
40703-01-51-02,4.777247414478918
40703-01-51-03,4.584588893671976
50125-01-01-00,4.989270386266094
50125-01-01-01,5.186721991701245
50125-01-01-02,5.09549795361528
50125-01-01-03,4.88905325443787
50125-01-01-04,4.743144071069912
50125-01-02-00,4.24592120970951
50125-01-02-01,4.385542168674699
50125-01-02-02,4.41401530406766
50125-01-03-00,5.057311566516152
50405-01-02-00,3.8083209509658245
50405-01-02-01,3.792039800995025
50405-01-02-02,3.9428017450315074
