observation_ID,gamma,kTe,nthcomp_norm,diskbb_tin,diskbb_norm,red_stat
10258-01-02-00,0.944171,1.31812E-05,2.27493,7.98857,3.74932,23.745208333333334
10408-01-42-00,1.01387,3.11723E-04,2.42326,12.2701,4.45424,265.40803921568624
10408-01-45-00,0.659930,7.43723E-12,2.43785,19.8685,7.12755,74.75192307692308
20186-03-02-05,0.731863,3.17541E-11,2.56586,50.8018,7.22535,107.88133333333334
20402-01-01-00,0.732321,2.88741E-12,2.59900,99.2503,7.76940,138.74977272727273
20402-01-02-01,0.675770,1.30034E-04,2.61414,999.523,8.81938,134.2053459119497
20402-01-04-00,0.828082,671.119,2.60496,998.365,6.32076,120.5086559139785
20402-01-05-00,0.662655,847.591,2.54416,999.442,7.62327,47.62786384976526
20402-01-07-00,0.690745,1293.13,2.49231,998.726,6.25598,31.794604166666666
20402-01-08-00,0.780938,1180.24,2.45754,1000.000,4.74116,38.18945692883895
20402-01-08-01,0.794038,1207.32,2.42230,1000.000,4.24554,43.58328231292517
20402-01-09-00,0.759222,1366.63,2.39280,987.683,4.14591,54.646059190031146
20402-01-10-00,0.796592,1135.94,2.35260,999.998,3.45917,74.88130747126436
20402-01-11-00,0.774532,1269.14,2.32163,1000.000,3.26042,95.26005333333333
20402-01-12-00,0.785516,1148.52,2.29503,999.818,2.94369,112.4667039800995
20402-01-13-00,0.615666,3711.42,2.32436,1000.00,4.01847,123.91048951048951
20402-01-14-00,0.856116,855.641,2.26867,1000.000,2.34172,133.5217105263158
20402-01-15-00,0.648490,2630.09,2.29405,1000.00,3.38478,140.7765010351967
20402-01-16-00,0.867623,722.355,2.22881,997.914,2.06385,147.43088235294118
20402-01-18-00,0.694183,1915.16,2.26099,1000.00,2.83053,147.4463687150838
20402-01-19-00,0.644939,2568.43,2.25310,1000.00,2.98813,150.8299645390071
20402-01-20-00,0.695834,1783.41,2.24039,1000.00,2.62427,152.5276649746193
20402-01-21-00,0.885634,637.350,2.18613,1000.000,1.75491,153.04441747572815
20402-01-21-01,0.769760,1188.42,2.21173,1000.00,2.14765,151.9279069767442
20402-01-24-00,0.764665,1211.45,2.21241,1000.00,2.16514,146.49397321428572
20402-01-27-01,0.777342,1135.54,2.21484,1000.00,2.13388,139.62567954220316
20402-01-47-01,0.906126,596.927,2.18191,999.991,1.67719,132.5404269972452
20402-01-48-00,0.739878,1409.99,2.23000,1000.00,2.36179,123.88054448871182
20402-01-49-01,0.864181,716.353,2.20521,1000.00,1.88180,117.20557692307693
20402-01-50-00,0.699203,1789.87,2.25246,1000.00,2.65917,110.9400867410161
20402-01-50-01,0.862348,710.492,2.21447,999.991,1.94388,104.89730215827339
20402-01-51-00,0.837411,795.178,2.22478,999.998,2.06943,99.02619047619048
30182-01-01-00,0.841887,779.766,2.22485,999.078,2.07206,93.74138513513515
30182-01-01-01,0.838547,792.296,2.22884,1000.000,2.10055,90.18142076502733
30182-01-02-01,0.841311,785.527,2.23176,999.806,2.10683,86.62468152866242
30182-01-04-02,0.636813,2750.38,2.28203,1000.00,3.23140,82.83395252837978
30402-01-09-00,0.592556,3981.08,2.29376,1000.00,3.60411,78.73644578313252
30402-01-09-01,0.813338,884.774,2.25774,991.620,2.32742,75.3731182795699
30402-01-10-00,0.805798,919.547,2.26219,999.509,2.39117,71.48338095238095
30402-01-12-00,0.780514,1037.23,2.27434,1000.000,2.55161,68.40626740947076
30402-01-12-01,0.773437,1071.90,2.28072,1000.000,2.61861,65.65778985507247
30402-01-12-02,0.761880,1138.10,2.28727,999.603,2.70819,63.10972590627764
30402-01-12-03,0.453977,1.93731E+04,2.33447,1000.00,5.28161,60.62443868739206
30402-01-16-00,0.774865,1044.48,2.29091,1000.000,2.68209,58.836075949367086
30402-01-17-00,0.775259,1050.34,2.29225,1000.000,2.69774,56.566584158415836
30402-01-18-00,0.447347,2.14120E+04,2.33662,1000.00,5.41456,55.2729217110573
30703-01-14-00,0.766758,1093.02,2.29656,999.895,2.76966,53.122630331753555
30703-01-15-00,0.415226,3.66112E+04,2.34412,1000.00,5.94888,50.77030162412993
30703-01-16-00,0.402817,4.59263E+04,2.34696,1000.00,6.17577,48.712007575757575
30703-01-17-00,0.393158,5.49656E+04,2.34859,1000.00,6.36084,46.74060876020787
30703-01-18-00,0.682545,1759.33,2.32235,999.969,3.41565,45.08500727802038
30703-01-19-00,0.371459,8.58310E+04,2.35423,1000.00,6.79930,43.38147751605995
30703-01-20-00,0.362048,1.03227E+05,2.35426,1000.00,6.97466,41.7734243697479
30703-01-21-00,0.681435,1686.57,2.32867,999.999,3.50169,40.603092783505154
30703-01-22-00,0.628341,2443.74,2.33765,1000.000,3.93512,39.334041835357624
30703-01-22-01,0.668337,1808.06,2.33611,1000.000,3.65034,38.23989396951624
30703-01-23-00,0.335524,1.95717E+05,2.36427,1000.00,7.62143,36.941796875
30703-01-23-01,0.332550,2.10914E+05,2.36567,1000.00,7.70638,36.03618042226488
30703-01-24-00,0.333776,2.03991E+05,2.36382,1000.00,7.66495,35.286540880503146
30703-01-24-01,0.688357,1576.36,2.33513,1000.000,3.53592,34.782683982683984
30703-01-24-02,0.334562,2.01203E+05,2.36336,1000.00,7.64539,34.11240875912409
30703-01-31-00,0.333855,2.04360E+05,2.36534,1000.00,7.70725,33.20721125074805
30703-01-33-00,0.336146,1.92797E+05,2.36597,1000.00,7.69388,32.413545347467604
30703-01-34-00,0.686517,1583.43,2.33350,999.820,3.55016,32.232898550724634
30703-01-35-00,0.673869,1695.53,2.33501,1000.000,3.64603,31.6222602739726
30703-01-36-00,0.328315,2.36948E+05,2.36073,1000.00,7.74614,30.869589657110737
30703-01-41-00,0.692391,1507.36,2.33082,1000.000,3.51174,30.369019933554817
40115-01-10-00G,0.662846,1814.97,2.33658,1000.00,3.75135,29.595303113052978
40115-01-10-01,0.671444,1717.13,2.33723,999.731,3.70103,28.989358836206897
40115-01-10-02,0.663189,1805.76,2.34073,999.860,3.78685,28.345693779904305
40116-01-01-00,0.306627,4.59174E+05,2.36604,1000.00,8.26320,27.743756558237145
40116-01-01-01,0.632324,2220.54,2.34732,1000.000,4.06653,27.301346452615228
40116-01-01-02,0.299147,5.96877E+05,2.36821,1000.00,8.45134,26.7114263803681
40116-01-01-03,0.293695,7.29324E+05,2.36894,1000.00,8.56851,26.21739020696618
40116-01-01-04,0.286902,9.43076E+05,2.36886,1000.00,8.69033,25.82190927218345
40116-01-01-05,0.656362,1865.57,2.34459,997.559,3.88355,25.54542097488922
40116-01-01-06,0.634298,2171.99,2.34695,1000.000,4.06802,25.14238813229572
40116-01-01-07,0.265016,2.35847E+06,2.36770,1000.00,9.05831,24.684983181162902
40116-01-02-00,0.574623,3594.01,2.35237,1000.000,4.61906,24.330555555555556
40116-01-02-01,0.261014,2.83266E+06,2.36935,1000.00,9.17943,23.855678085405913
40116-01-02-02,0.255823,3.60790E+06,2.37015,1000.00,9.29365,23.44628942486085
40116-01-02-03,0.254265,3.90437E+06,2.37070,1000.00,9.34404,23.03576341127923
40116-01-02-04,0.522904,6170.44,2.35871,1000.000,5.21573,22.60988667271079
40116-01-02-05,0.251276,4.47683E+06,2.37312,1000.00,9.48595,22.092971761541907
40116-01-02-06,0.247078,5.49704E+06,2.37428,1000.00,9.59743,21.65468971631206
40116-01-02-07,0.584808,3193.15,2.35990,1000.000,4.63727,21.290449364313897
40403-01-01-00,0.244898,6.11833E+06,2.37490,1000.00,9.67686,20.87187608318891
40403-01-09-00,0.244500,6.35713E+06,2.37427,1000.00,9.68318,20.52112087441063
40403-01-10-00,0.570913,3692.71,2.35900,999.999,4.78535,20.11788804071247
40403-01-11-00,0.244496,6.36670E+06,2.37454,1000.00,9.74297,19.581879983214435
40703-01-01-00,0.245855,5.93162E+06,2.37306,1000.00,9.69932,19.26736099585062
40703-01-02-00,0.516621,6723.45,2.35987,1000.000,5.39271,18.806600328272467
40703-01-05-00,0.244959,6.26562E+06,2.37385,1000.00,9.78104,18.393607954545455
40703-01-09-00,0.244354,6.54586E+06,2.37354,1000.00,9.79834,18.088220168742467
40703-01-15-01,0.505553,7784.29,2.36220,1000.000,5.56117,17.909558472553698
40703-01-15-02,0.241267,7.75168E+06,2.37498,1000.00,9.89690,17.609527372981486
40703-01-16-00,0.239653,8.47187E+06,2.37540,1000.00,9.94351,17.357851014040563
40703-01-16-01,0.614367,2573.57,2.35699,999.251,4.43713,17.18348590189262
40703-01-16-02,0.233958,1.15933E+07,2.37617,1000.00,10.0708,16.888096786534046
40703-01-16-03,0.535203,5484.96,2.36255,999.930,5.25416,16.72378363016294
40703-01-17-00,0.230106,1.44451E+07,2.37740,1000.00,10.1872,16.384253003003003
40703-01-17-01,0.506388,7643.91,2.36659,1000.000,5.63712,16.128785793975457
40703-01-20-00,0.454142,1.62452E+04,2.36801,1000.000,6.33027,15.780493736182757
40703-01-20-01,0.226037,1.83066E+07,2.37788,1000.00,10.3319,15.42876049653158
40703-01-21-00,0.458434,1.51737E+04,2.36811,1000.000,6.29351,15.258091534008683
40703-01-21-01,0.222724,2.24946E+07,2.37883,1000.00,10.4289,14.996984582287556
40703-01-21-02,0.436729,2.18364E+04,2.37004,1000.000,6.63164,14.832862473347548
40703-01-41-00,0.437576,2.13993E+04,2.37122,1000.000,6.64275,14.600766114829165
40703-01-41-01,0.417498,3.10298E+04,2.37240,990.039,6.96147,14.39222939944134
40703-01-41-02,0.218027,2.99499E+07,2.38241,1000.00,10.6367,14.158087573554862
40703-01-41-03,0.382381,6.35613E+04,2.37626,1000.000,7.58452,14.007328414550447
40703-01-41-04,0.415131,3.16825E+04,2.37657,999.908,7.07149,13.829379040489963
40703-01-41-05,0.365581,9.41828E+04,2.37860,1000.000,7.91770,13.641169028340082
40703-01-42-00,0.373161,7.69306E+04,2.37989,999.985,7.81521,13.453318835731015
40703-01-42-01,0.382195,6.26654E+04,2.37937,999.998,7.66180,13.28940610484406
40703-01-42-02,0.345787,1.55404E+05,2.38109,999.943,8.33050,13.110913129318856
40703-01-42-03,0.331120,2.35875E+05,2.38173,999.255,8.61804,12.93131364229765
40703-01-43-00,0.301720,6.03923E+05,2.38391,996.680,9.21708,12.762759792813208
40703-01-44-00,0.336893,1.96413E+05,2.38344,418.949,8.55863,12.689816955684007
40703-01-44-01,0.320256,3.25749E+05,2.38567,988.241,8.91292,12.442911755336095
40703-01-44-02,0.301588,6.10130E+05,2.38735,1000.000,9.31164,12.277533185840708
40703-01-44-03,0.280353,1.34756E+06,2.38882,995.220,9.75720,12.128289432423957
40703-01-45-00,0.267473,2.31467E+06,2.38913,999.690,10.0196,11.987132856253888
40703-01-45-01,0.271204,1.98447E+06,2.38942,998.232,9.95993,11.856832355665329
40703-01-47-00,0.258113,3.56495E+06,2.39015,999.802,10.2356,11.712231924019607
40703-01-49-00,0.261358,3.09621E+06,2.39015,999.270,10.1819,11.580405898449378
40703-01-49-01,0.233458,1.24860E+07,2.39175,999.999,10.7465,11.448194025347014
40703-01-49-02,0.235725,1.10847E+07,2.39186,997.917,10.7121,11.340582509733453
40703-01-50-00,0.243919,7.22997E+06,2.39178,999.988,10.5634,11.231640903686088
40703-01-50-01,0.238125,9.88822E+06,2.39182,999.956,10.6753,11.132623192682207
40703-01-50-02,0.248615,5.80022E+06,2.39128,999.466,10.4702,11.034374633860574
40703-01-51-00,0.231543,1.42834E+07,2.39255,999.721,10.8297,10.874467868566443
40703-01-51-01,0.230826,1.49665E+07,2.39283,999.266,10.8569,10.757215646651272
40703-01-51-02,0.214619,3.98074E+07,2.39370,999.997,11.1728,10.614379478360561
40703-01-51-03,0.220210,2.81984E+07,2.39385,999.994,11.0859,10.519420887877065
50125-01-01-00,0.226855,1.90272E+07,2.39398,999.592,10.9857,10.374040689460301
50125-01-01-01,0.204805,7.74672E+07,2.39513,999.770,11.4096,10.19642255892256
50125-01-01-02,0.235706,1.16392E+07,2.39385,998.030,10.8604,10.031418222346058
50125-01-01-03,0.208591,6.04738E+07,2.39502,997.415,11.3830,9.88455035971223
50125-01-01-04,0.213590,4.36991E+07,2.39490,996.691,11.3083,9.75351195383347
50125-01-02-00,0.200000,1.11522E+08,2.39514,1000.00,11.5491,9.628021288209608
50125-01-02-01,0.221596,2.69038E+07,2.39372,996.778,11.1596,9.53311737598265
50125-01-02-02,0.206238,7.28148E+07,2.39438,999.611,11.4441,9.431052773290252
50125-01-03-00,0.200418,1.09951E+08,2.39471,1000.000,11.5704,9.258130516180797
50405-01-02-00,0.215054,4.16973E+07,2.39138,999.990,11.2309,9.263097768331562
50405-01-02-01,0.200000,1.16410E+08,2.39181,1000.00,11.4716,9.268350488255477
50405-01-02-02,0.224340,2.43288E+07,2.38753,989.995,10.9510,9.255256948086
50405-01-03-00,0.212716,5.01700E+07,2.38877,1000.000,11.1770,9.204667882261006
50703-01-08-00,0.211427,5.53074E+07,2.38825,1000.000,11.1955,9.099930124223603
50703-01-17-00,0.212972,4.97610E+07,2.38933,1000.00,11.2047,9.006040113139624
50703-01-17-01,0.216546,4.00737E+07,2.38845,994.691,11.1304,8.917761880429229
