Source,ObsID,QPO0_freq,QPO0_pos_err,QPO0_neg_err,QPO0_FWHM,QPO0_FWHM_pos_err,QPO0_FWHM_neg_err,QPO0_IP,QPO0_IP_pos_err,QPO0_IP_neg_err,Sig.,QPO1_freq,QPO1_pos_err,QPO1_neg_err,QPO1_FWHM,QPO1_FWHM_pos_err,QPO1_FWHM_neg_err,QPO1_IP,QPO1_IP_pos_err,QPO1_IP_neg_err,Sig.,QPO2_freq,QPO2_pos_err,QPO2_neg_err,QPO2_FWHM,QPO2_FWHM_pos_err,QPO2_FWHM_neg_err,QPO2_IP,QPO2_IP_pos_err,QPO2_IP_neg_err,Sig.,QPO3_freq,QPO3_pos_err,QPO3_neg_err,QPO3_FWHM,QPO3_FWHM_pos_err,QPO3_FWHM_neg_err,QPO3_IP,QPO3_IP_pos_err,QPO3_IP_neg_err,Sig.,Type,1st_time,last_time
H1743-322,80137-01-27-00,,,,,,,,,,,6.07514620E+00,1.11696944E-01,1.02324933E-01,2.53700900E+00,4.24358308E-01,3.80038768E-01,9.43283085E-03,9.95551352E-04,9.74128430E-04,9.68335,1.25256119E+01,4.77764308E-01,4.82943475E-01,2.92560601E+00,1.68638158E+00,1.19365907E+00,2.38003884E-03,8.81115731E-04,7.61225820E-04,3.12659,,,,,,,,,,,C,0.0,1904.0
H1743-322,80138-01-03-00G,1.12187231E+00,2.16348581E-02,2.28783600E-02,5.30345678E-01,9.12745148E-02,7.40468502E-02,3.01058870E-03,5.38870925E-04,4.65883088E-04,6.46211,2.22620463E+00,4.66050394E-03,4.80290409E-03,2.58954704E-01,1.35829775E-02,1.38038574E-02,1.67608559E-02,5.18796965E-04,5.72248246E-04,29.2895,4.38688135E+00,2.09664814E-02,1.75163932E-02,3.51304114E-01,7.37683475E-02,6.27376959E-02,1.17688382E-03,1.86938472E-04,1.59415926E-04,7.38247,,,,,,,,,,,C,0.0,2851.0
H1743-322,80138-01-04-00G,1.81857491E+00,5.59033528E-02,6.95009455E-02,1.01495624E+00,2.82591760E-01,2.14599416E-01,1.84081448E-03,7.03288999E-04,4.80759423E-04,3.82897,3.73747468E+00,6.10992918E-03,6.04530051E-03,3.90820950E-01,1.58996321E-02,1.52133778E-02,1.43689923E-02,3.73160612E-04,3.77634569E-04,38.05,7.34600401E+00,2.72907689E-02,2.62392275E-02,5.69718659E-01,9.25572217E-02,8.06391239E-02,8.00627109E-04,1.07628672E-04,1.01630641E-04,7.87781,,,,,,,,,,,C,0.0,2304.0
H1743-322,80138-01-05-00G,,,,,,,,,,,2.07974291E+00,5.75657981E-03,5.87226218E-03,2.60048389E-01,1.63553115E-02,1.47953993E-02,1.58047304E-02,6.19070313E-04,6.04878296E-04,26.1288,4.05441236E+00,2.74341218E-02,2.46892832E-02,3.71687263E-01,7.85920471E-02,7.20604360E-02,1.20510883E-03,2.20619637E-04,2.05407065E-04,5.86693,,,,,,,,,,,C,0.0,1817.0
H1743-322,80138-01-06-00,,,,,,,,,,,3.22224498E+00,4.93809767E-03,5.11116814E-03,3.74963731E-01,1.20681319E-02,1.11896573E-02,1.71639118E-02,3.62031366E-04,3.63371684E-04,47.2351,6.25634861E+00,3.10137421E-02,3.61117274E-02,1.66772568E+00,1.83267385E-01,1.48805320E-01,2.97714188E-03,2.31260521E-04,1.93760730E-04,15.365,,,,,,,,,,,C,0.0,3328.0
H1743-322,80146-01-02-00,2.54795074E+00,1.04045272E-01,1.04558498E-01,2.46291757E+00,3.62229645E-01,3.59025240E-01,3.54118575E-03,6.58199715E-04,7.23756559E-04,4.89279,5.61212063E+00,8.93268548E-03,8.73681996E-03,8.29470813E-01,3.78359854E-02,3.59275229E-02,8.36530328E-03,2.69394572E-04,2.90007767E-04,28.8451,1.10801268E+01,3.50098200E-02,7.23379403E-02,4.49833184E-01,3.11985940E-01,-1.00000000E+00,1.04889885E-04,3.99022902E-05,2.17144989E-05,4.83041,,,,,,,,,,,C,0.0,2768.0
H1743-322,80146-01-03-00,,,,,,,,,,,4.74474001E+00,7.46398186E-03,7.14721670E-03,5.85069597E-01,2.06844490E-02,2.02077348E-02,1.22125084E-02,2.65939627E-04,2.73741665E-04,44.6133,9.28656960E+00,1.36871397E-01,1.70553744E-01,2.39920974E+00,5.15851021E-01,4.46328521E-01,1.23208808E-03,2.11566425E-04,1.93972344E-04,6.35187,,,,,,,,,,,C,0.0,2640.0
H1743-322,80146-01-29-00,2.58246255E+00,7.63723627E-02,7.34606907E-02,1.65735662E+00,3.58065486E-01,4.26288992E-01,2.32082466E-03,6.87819498E-04,7.50438892E-04,3.09262,5.59050083E+00,9.63386428E-03,9.46366508E-03,7.96726048E-01,3.75444852E-02,3.94296795E-02,8.70669633E-03,3.02436296E-04,3.37879726E-04,25.7686,1.12115822E+01,1.81619585E-01,1.80654198E-01,1.99085367E+00,6.30307615E-01,4.54695851E-01,3.00465355E-04,1.03691062E-04,7.70049519E-05,3.9019,,,,,,,,,,,C,0.0,2448.0
H1743-322,80146-01-30-00,2.18951392E+00,4.26082164E-02,4.62889299E-02,1.30423057E+00,1.45481855E-01,1.19778410E-01,2.96236412E-03,4.03175974E-04,3.44378466E-04,8.60206,4.49227762E+00,6.44012587E-03,6.00428227E-03,5.69129586E-01,1.69036705E-02,1.68028735E-02,1.44973928E-02,2.89529329E-04,2.98234110E-04,48.6108,8.76270008E+00,5.85949793E-02,5.50037026E-02,1.29804742E+00,2.36375421E-01,2.27517843E-01,6.84132567E-04,1.37891897E-04,1.33207956E-04,5.13582,,,,,,,,,,,C,0.0,3184.0
H1743-322,80146-01-30-00-2,2.16331863E+00,9.32223797E-02,7.77579769E-02,7.77619421E-01,3.46267492E-01,3.96528125E-01,6.03236665E-04,2.34385399E-04,2.48611555E-04,2.42642,4.34336233E+00,6.54505892E-03,6.31814683E-03,4.16221976E-01,1.74993668E-02,1.63960606E-02,1.26203457E-02,4.10326349E-04,4.40732721E-04,28.6349,8.58263683E+00,4.82096225E-02,4.73618992E-02,2.09520173E+00,2.41147012E-01,2.48976603E-01,1.68650562E-03,1.59364674E-04,1.70514337E-04,9.8907,,,,,,,,,,,C,5680.0,8864.0
