observation_ID,simpl_FracScat,net_source_count_rate,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,hardness_ratio
1050360103_0,0.0488535,1982.0,0.200001,8080740.0,1.77927,8.97673,0.497391058292425
1050360103_1,0.0498474,2005.0,0.2,8212800.0,1.7974599999999998,9.29172,0.4929246341643871
1050360103_2,0.0498835,1971.0,0.2,8186140.0,1.79236,9.25163,0.4962107363217802
1050360104_0,0.116612,4556.0,0.2,16087300.0,2.31781,40.3658,0.3576856764542074
1050360104_1,0.122977,4569.0,0.2,15613600.0,2.33623,41.426,0.3529490555382753
1050360104_11,0.121571,4667.0,0.2,16524000.0,2.33791,43.2486,0.352358179299852
1050360104_12,0.113003,4609.0,0.2,16708500.0,2.3122,40.5058,0.3576821180768183
1050360104_13,0.105549,4494.0,0.2,17055200.0,2.2924,38.4852,0.3611547739956793
1050360104_14,0.118621,4694.0,0.2,16638000.0,2.33413,42.375,0.3537134471242101
1050360104_5,0.130667,4829.0,0.2,15950100.0,2.36006,45.0917,0.3482123521091027
1050360104_6,0.133894,4852.0,0.2,15776300.0,2.36841,45.7808,0.3477435099730364
1050360104_7,0.1193,4735.0,0.2,16523300.0,2.32723,42.4377,0.3548907455272716
1050360104_8,0.119043,4710.0,0.2,16679700.0,2.33696,42.6586,0.3528060252673949
1050360104_9,0.121276,4742.0,0.2,16412400.0,2.33442,42.8742,0.3537294601264574
1050360105_1,0.129586,4834.0,0.2,16100500.0,2.35975,45.0951,0.3493220535371164
1050360105_15,0.129273,4809.0,0.2,16409600.0,2.36023,45.8168,0.3487011811861195
1050360105_16,0.111436,4726.0,0.2,17340300.0,2.30993,41.3992,0.3591091603511961
1050360105_17,0.111445,4710.0,0.2,17305000.0,2.31105,41.3087,0.3584022629811003
1050360105_18,0.102654,4623.0,0.2,17729100.0,2.27637,38.8286,0.3652616597206601
1050360105_19,0.107552,4682.0,0.2,17492800.0,2.29559,40.2873,0.3616003683824405
1050360105_2,0.126435,4766.0,0.2,16594000.0,2.35704,45.1946,0.3502847335750467
1050360105_21,0.116316,4880.0,0.2,17193200.0,2.31402,43.048,0.3576015781633968
1050360105_23,0.132328,5034.0,0.2,16359100.0,2.35843,46.9555,0.3485421500331733
1050360105_26,0.113983,4867.0,0.2,17300200.0,2.30487,42.4566,0.3604492047391685
1050360105_28,0.0895566,4561.0,0.2,18340200.0,2.20626,35.1656,0.3805812435720397
1050360105_29,0.0816074,4416.0,0.2,18537400.0,2.17066,32.533,0.3878883641035065
1050360105_4,0.128281,4903.0,0.2,16524200.0,2.36024,45.7445,0.3485501113007045
1050360106_0,0.0807099,4410.0,0.2,18555000.0,2.16756,32.3667,0.3896083205446472
1050360106_1,0.0810475,4429.0,0.2,18747100.0,2.17104,32.6394,0.3886039323749065
1050360106_2,0.0851678,4498.0,0.2,18633700.0,2.18986,33.9382,0.3840705315608478
1050360106_3,0.0804268,4471.0,0.2,18883700.0,2.1644,32.6759,0.3891987098783376
1050360106_4,0.0801017,4480.0,0.2,18833600.0,2.15798,32.5024,0.3909724798872425
1050360106_5,0.0784172,4418.0,0.2,18775000.0,2.1475,31.6265,0.3936950618370756
1050360106_6,0.082882,4489.0,0.2,18746400.0,2.17834,33.3865,0.3869022038496289
1050360106_7,0.0924315,4674.0,0.2,18688800.0,2.21885,36.5891,0.3785834717808305
1050360106_8,0.092062,4699.0,0.2,18565700.0,2.21688,36.7264,0.3785994634228202
1050360106_9,0.0919242,4761.0,0.2,18849400.0,2.22011,37.3526,0.3778407191352816
1050360107_0,0.0962336,5139.0,0.2,19825300.0,2.23006,40.8615,0.3750828584484685
1050360107_1,0.0975872,5241.0,0.2,19928200.0,2.23355,41.8748,0.3745997539740281
1050360108_4,0.130483,5936.0,0.2,19021500.0,2.33704,54.0517,0.3532215928332116
1050360108_8,0.104867,5575.0,0.2,20354600.0,2.2679,46.5128,0.3681536402478104
1050360108_9,0.104971,5521.0,0.2,20137300.0,2.25923,45.5877,0.3697643528951801
1050360109_10,0.12959,6358.0,0.2,20072600.0,2.32046,56.8406,0.3576310581936205
1050360109_2,0.173409,6914.0,0.2,17327200.0,2.39519,68.0666,0.3449564758709573
1050360109_3,0.169027,6867.0,0.2,17662100.0,2.3921900000000003,67.3008,0.3444798581599744
1050360109_5,0.159986,6773.0,0.2,18314500.0,2.38153,65.4413,0.3464588167545987
1050360109_8,0.145337,6747.0,0.2,19523400.0,2.35059,62.7202,0.3530845349773792
1050360110_0,0.135146,6522.0,0.2,20025300.0,2.33421,59.3225,0.3555786273270056
1050360110_3,0.197335,7636.0,0.2,17158000.0,2.42937,78.4809,0.3384999001999504
1050360110_4,0.205785,7768.0,0.2,16756800.0,2.43733,80.6732,0.3369979105965171
1050360110_5,0.249504,8244.0,0.2,14762400.0,2.48316,90.6693,0.3288957177496613
1050360110_6,0.254182,8386.0,0.2,14584800.0,2.4796400000000003,91.9482,0.3301605942863663
1050360111_2,0.621351,10720.0,0.2,4083820.0,2.59049,135.69299999999998,0.31514791206905
1050360111_3,0.431826,10100.0,0.2,8709270.0,2.56902,124.022,0.3167044605845709
1050360111_6,0.558862,10640.0,0.2,5522010.0,2.60279,136.246,0.3111518808501109
1050360112_1,0.572395,11120.0,0.2,5177500.0,2.56732,137.043,0.3188224277827008
1050360112_3,0.460967,10520.0,0.2,8048730.0,2.57348,129.916,0.3154806353150234
1050360113_0,0.45725,10490.0,0.2,8162670.0,2.57411,129.644,0.3152431226179
1050360113_1,0.570283,10710.0,0.2,5355820.0,2.61436,138.952,0.308784280272126
1050360113_2,0.550631,10820.0,0.2,5847970.0,2.60546,138.945,0.3104343449398279
1050360113_4,0.635778,10950.0,0.2,4080230.0,2.62896,144.53,0.3066468460971497
1050360113_7,0.906345,10720.0,0.3215949999999999,0.1,2.86036,132.042,0.2778169928210029
1050360114_1,0.906187,10600.0,0.315118,0.1,2.86703,133.787,0.2760368424864449
1050360114_2,0.906345,10540.0,0.313876,0.1,2.86732,133.52,0.2754146398942644
1050360115_10,0.905156,10440.0,0.313433,0.1,2.87013,132.658,0.2745926858636126
1050360115_12,0.906345,10520.0,0.277811,0.1,2.80386,139.509,0.281293315561794
