filename_code,MET_start,MET_end,MJD_mid,interval_time(s),ObsID(RXTE),number_PCUs,which_PCUs(string),spec_filename,spec_MJD,spec_exposure(s),PCA_crate_raw(c/s/PCU),PCA_crate_normalized(c/s/PCU),soft_color(3.6-5.0/2.2-3.6_keV),err_soft_col,hard_color(8.6-18.0/5.0-8.6_keV),err_hard_col,PDS_name,PDS_integrated_rms_(0.1_10Hz),err_PDS_rms,PDS_low_chan_PCU2_0_255,PDS_high_chan_PCU2_0_255,PDS_source_crate(c/s/PCU),sample_std_dev_PDS_source_crate(c/s/PCU),deadtime_correction,average_pointing_offset(deg)
day1710_a,147804932.4,147805348.4,51063.70764,416,30188-06-02-00,5,1234,bs.s1550_day1710_a.2.pha,51063.70772,400,758.35,701.13,1.182,0.008,0.913,0.005,seg1710_a_rsfft.asc,0.3159,0.0003,1,94,732.187,196.969,1.028,0.09
day1710_b,147807397.4,147808163.4,51063.7382,766,30188-06-02-00,5,1234,bs.s1550_day1710_b.2.pha,51063.73818,736,808.91,749.11,1.183,0.006,0.914,0.005,seg1710_b_rsfft.asc,0.336,0.0095,1,94,763.14,242.919,1.03,0.088
day1711_a,147830900.4,147832834.4,51064.01698,1934,30188-06-03-00,5,1234,bs.s1550_day1711_a.2.pha,51064.01707,1888,985.7,917.78,1.156,0.005,0.887,0.005,seg1711_a_rsfft.asc,0.3045,0.0025,1,94,983.377,249.896,1.027,0.093
day1711_b,147833603.4,147834124.4,51064.04009,521,30188-06-03-00,5,1234,bs.s1550_day1711_b.2.pha,51064.04003,512,978.98,911.71,1.173,0.006,0.893,0.005,seg1711_b_rsfft.asc,0.2918,0.0045,1,94,976.864,238.353,1.024,0.093
day1711_c,147836243.4,147839703.4,51064.08766,3460,30188-06-03-00,5,1234,bs.s1550_day1711_c.2.pha,51064.08763,3424,997.89,930.44,1.159,0.005,0.884,0.005,seg1711_c_rsfft.asc,0.301,0.0019,1,94,995.639,243.789,1.027,0.093
day1712_a,147922596.4,147926274.4,51065.08837,3678,30188-06-01-00,5,1234,bs.s1550_day1712_a.2.pha,51065.08855,3600,1778.93,1683.86,1.139,0.005,0.822,0.005,seg1712_a_rsfft.asc,0.2953,0.0017,1,94,1780.681,396.22,1.037,0.09
day1712_b,147946291.4,147948543.4,51065.35437,2252,30188-06-01-01,3,12,bs.s1550_day1712_b.2.pha,51065.35457,2176,1779.75,1690.98,1.131,0.005,0.802,0.005,seg1712_b_rsfft.asc,0.2722,0.0023,1,94,1755.102,309.378,1.038,0.091
day1713_a,148008932.4,148011904.4,51066.08355,2972,30188-06-01-02,5,1234,bs.s1550_day1713_a.2.pha,51066.08374,2912,2203.63,2115.87,1.097,0.005,0.741,0.005,seg1713_a_rsfft.asc,0.2511,0.0017,1,94,2138.072,240.267,1.041,0.045
day1713_b,148032931.4,148035663.4,51066.35992,2732,30188-06-01-03,5,1234,bs.s1550_day1713_b.2.pha,51066.36013,2672,2356.61,2271.98,1.075,0.005,0.717,0.005,seg1713_b_rsfft.asc,0.2542,0.0017,1,94,2287.852,235.283,1.043,0.044
day1714_a,148112964.4,148116290.4,51067.28967,3326,30188-06-04-00,4,123,bs.s1550_day1714_a.2.pha,51067.28966,3264,2836.46,2756.78,1.007,0.005,0.661,0.005,seg1714_a_rsfft.asc,0.2544,0.0015,1,94,2792.511,274.546,1.051,0.044
