mse,mae,fold
0.0207175588679272,0.099772250050299,0
0.028134409838931812,0.11028573190969732,1
0.023526063801022887,0.10064779666413703,2
0.022110994850879338,0.09735496058631016,3
0.013949314700082838,0.08343924611193092,4
0.02585011911179101,0.10819705758624808,5
0.01955306044490345,0.09616252857049247,6
0.016054509239304925,0.08621115769223053,7
0.018196430554924925,0.08823591013331332,8
0.018184303080839296,0.09137654271699085,9
0.019897081802169984,0.09512377317937833,10
0.029255129893286557,0.11832084063436647,11
0.027492295183093794,0.11811853000026733,12
0.02258242623429064,0.098498672044342,13
0.013395405195305472,0.07719415909471612,14
0.012676065278863913,0.07853492461926326,15
0.02595090431845498,0.10870379760862463,16
0.019053541577053145,0.09598862932052472,17
0.016942772808176323,0.08249741454938626,18
0.01934862322630201,0.09569196590829225,19
