mse,mae,fold
0.0075361206005359685,0.06131880509175077,0
0.010092397011142173,0.06804371764991622,1
0.012112730269413029,0.07411200808407171,2
0.00967036898983903,0.068974143396499,3
0.011707665689871532,0.07536061199346498,4
0.010158091154508475,0.06882419454321828,5
0.010087105543114221,0.06899563155744672,6
0.009108640366762183,0.06588135873427609,7
0.012051589940559755,0.07052220027471927,8
0.00841082833587895,0.061872946763950304,9
0.010945978374405434,0.07290006682087556,10
0.013251092348882916,0.08076838955017758,11
0.006480988153638362,0.05509457048104468,12
0.010699914066361532,0.06731362164341581,13
0.011421538347559152,0.07304184013580656,14
0.00622415726815263,0.05731362872695451,15
0.010136003114511962,0.0719779649283933,16
0.010969597267908112,0.07239700300775115,17
0.010283519021266058,0.0656504430681452,18
0.013930421545786829,0.08032458013256398,19
