mse,mae,fold
0.020035165326813213,0.09518385782333444,0
0.02211945603548789,0.09794728651231795,1
0.018515898513991453,0.09356507620791428,2
0.013570617727981786,0.0824928585605355,3
0.01730317764938465,0.08870379768032334,4
0.01639400902228375,0.08736642843753732,5
0.013857408732403792,0.08081949952494354,6
0.013852916750603496,0.07820605445087803,7
0.016796620397484193,0.0842050110863191,8
0.018316243400046908,0.0852176064931441,9
0.018914929405192592,0.09074078795416209,10
0.02455454012977269,0.10296102843022419,11
0.009545939056389226,0.06441336606717632,12
0.016343330126010625,0.0836760570234843,13
0.015791011719885322,0.080819315596861,14
0.013766924926792054,0.07436138698615069,15
0.012267659451512286,0.07673837288315413,16
0.013847605775631135,0.08172674811792453,17
0.01809938859225547,0.08873535116329652,18
0.014333736964034886,0.07901724702782052,19
