mse,mae,fold
0.009000600437204706,0.06605651246312207,0
0.00983280637289642,0.06522610144632483,1
0.011241520481676747,0.0748125145733069,2
0.007273013119443855,0.06343689272274607,3
0.0077498417227722174,0.06371893197753219,4
0.009425124574359574,0.06547090262400483,5
0.008386906135858933,0.06390234342399996,6
0.006392789718919997,0.05499293078745652,7
0.010198693137820127,0.06468371691323326,8
0.009959489730006679,0.06123523923988284,9
0.0072764596949651565,0.05815731538373959,10
0.0120732558026772,0.07820132851477866,11
0.006689212710958848,0.060136496461093446,12
0.010608299156670957,0.0681276384072345,13
0.006957131655656802,0.057231154629299785,14
0.005210203901197443,0.050833114953913544,15
0.011661190907174051,0.07542051590573318,16
0.009758479612101684,0.0671871872145659,17
0.009937274753657726,0.06457110149228491,18
0.011375045744158659,0.07241057463173366,19
