mse,mae,fold
0.018150921797173262,0.1070692569773833,0
0.020129483894784937,0.11170663414290555,1
0.024083226209482615,0.12047901565409753,2
0.02112425905088371,0.11378898942593979,3
0.020122320933778744,0.1111662870406946,4
0.02324170681486359,0.1171036666141168,5
0.018154759987310466,0.10901907473050954,6
0.019854702885758867,0.11190112296976346,7
0.020625173138418003,0.11113100824271148,8
0.017960080170563723,0.10579715081889245,9
0.022646850324660465,0.11621639705544795,10
0.02062742828074504,0.11642566807212923,11
0.01911793716391467,0.11172580801344482,12
0.019485591141426634,0.11145608204602185,13
0.012544511174964343,0.08769171094405764,14
0.022427930448181258,0.12267844474388767,15
0.02409409784429747,0.11804754139033598,16
0.020728052131034302,0.10982152164121244,17
0.018819074743920586,0.10409493014251951,18
0.02277916419660815,0.12010434124270357,19
