mse,mae,fold
0.00926014194595131,0.06864627346860123,0
0.010740163017164904,0.07336090654562592,1
0.011417684774891272,0.0763380078232736,2
0.008893800198932357,0.07065785428148523,3
0.009121601422097803,0.0693267912251009,4
0.011148522594855216,0.07549873113651866,5
0.00901533625895972,0.06971907440416716,6
0.007952663278725396,0.06366333182208699,7
0.01176142280597872,0.07331235466735751,8
0.009941529035459916,0.06446939570056291,9
0.008489519025873872,0.06532830203517516,10
0.013291978534691875,0.08122391053102211,11
0.007674537888239491,0.0659300078201125,12
0.011955563754556713,0.07225536602817557,13
0.008527027052069605,0.0667805948634979,14
0.006823082791195978,0.061053704158174765,15
0.011771293996357008,0.07866296861998619,16
0.010447880485129318,0.07054828910307018,17
0.01052936660998971,0.06950018606130896,18
0.01229998063471747,0.07788430865778344,19
