mse,mae,fold
0.009130572804966739,0.06600858524759422,0
0.009680045162061644,0.06509527534848368,1
0.011485265886194558,0.07380810064176332,2
0.008105110519140596,0.06517930772696919,3
0.010768348498313152,0.0718939190064165,4
0.01152521106330337,0.0729069250146374,5
0.009539867688343511,0.0692408963825821,6
0.007777375328064097,0.05987526473493592,7
0.01263283307169103,0.07214747171744701,8
0.010725650297051243,0.06482944339889478,9
0.011005227851061299,0.07233472384033755,10
0.016134193912723912,0.08263214375999832,11
0.006374558913395074,0.05620784979833001,12
0.012379401759483911,0.07219708951986771,13
0.010439283502829673,0.07147494688632842,14
0.004957698034866991,0.04930594415875169,15
0.010868592273992032,0.07519874182588279,16
0.011335956497531085,0.07202357908060543,17
0.010158695576123615,0.06349829329335213,18
0.012290713058316522,0.07680355799830536,19
