mse,mae,fold
0.005050601038197471,0.02882291612579928,0
0.004618924555845764,0.01534339973582405,1
0.002527291425975465,0.016113371855555076,2
0.004418244928976822,0.01709931563123217,3
0.0013331723167068262,0.015770027069699256,4
0.0028014468286492542,0.015048713659679268,5
0.0028328631767510306,0.018755926649896105,6
0.00029811116766006703,0.0061407778900644,7
0.000927499282395325,0.00951571689431191,8
0.004550960667473192,0.017654361248177163,9
0.0009240682084650762,0.01249292719091187,10
0.0053605038025269745,0.0194897857636644,11
0.005011483033604097,0.022119184864316865,12
0.0007437450134354678,0.010016152613975956,13
0.005135618192461415,0.015437872697983772,14
0.006516207094777657,0.025940464599057727,15
0.001153666075218907,0.013232761882766847,16
0.009526119469569053,0.03177009944508014,17
0.0029620480454479324,0.02077476441466983,18
0.0014035391173819643,0.012439897115666482,19
