mse,mae,fold
0.007326634530494432,0.0397405358338642,0
0.005439016444684652,0.019414743552722397,1
0.00922540908465914,0.04570689976676134,2
0.008749604341317024,0.02867023913818081,3
0.0113984399089739,0.04848999866731093,4
0.021565955991340854,0.05617507782283334,5
0.005459593256767069,0.03095558103042879,6
0.012067795934802047,0.03610736797426726,7
0.013162078270644376,0.04568069137419961,8
0.011756214521613158,0.045046021098258344,9
0.015755644519050743,0.04553232531843209,10
0.014476947517667751,0.04505921757176514,11
0.009111758410626156,0.03808570282808394,12
0.011574042124526077,0.04504677499088178,13
0.008077722459153463,0.029298598662460856,14
0.018166586890057186,0.05206356593309386,15
0.006222973762509606,0.03267344114911916,16
0.01855833414615331,0.062392548860422,17
0.01255933741729571,0.04868673642061481,18
0.004385092336431484,0.02134695760006348,19
