mse,mae,fold
0.012991977624013896,0.05010424489235807,0
0.009681497415251959,0.027904086619270737,1
0.00922540908465914,0.045706899766761344,2
0.006748517611000609,0.028805452501137706,3
0.011777333916477254,0.05141030440642979,4
0.023267276086739046,0.059898780023059296,5
0.006585398924742763,0.03642183844850997,6
0.007473566617435188,0.030668468033896053,7
0.011100951047434476,0.039705569952477364,8
0.009995972462089187,0.03708918532455696,9
0.01694145902800352,0.04937160120193673,10
0.013544205416792658,0.04331748119887652,11
0.009111758410626156,0.03808570282808394,12
0.011574042124526077,0.04504677499088178,13
0.008077722459153463,0.029298598662460856,14
0.010958770005870803,0.04181905910907116,15
0.007309619664798878,0.037851967489252784,16
0.018393904478958573,0.05737107524168195,17
0.009260273827896494,0.0405444591848697,18
0.005811421479170641,0.023215022757110886,19
