mse,mae,fold
0.004528111032151747,0.023472290433619352,0
0.0029694921414966688,0.009835648994036682,1
0.0019803310924991404,0.016282309916436283,2
0.0016485333928763725,0.009024068753093759,3
0.000502920604734841,0.008890238676994141,4
0.003570326335245297,0.014938676937216495,5
0.003492812823330886,0.019988790567134103,6
0.0004591285513596333,0.00796842920484683,7
0.000840707989946556,0.008736033829209367,8
0.003968374942635143,0.0152129363888606,9
0.0004980860553221567,0.008117244691623933,10
0.0045019647540550335,0.017689991119495648,11
0.0023398887900632427,0.014188886869714326,12
0.0014729704705049673,0.01131318652185781,13
0.004030060630792742,0.015090010113857433,14
0.0031380155790015573,0.012253729536063964,15
0.0005131354878434297,0.007733849413333484,16
0.007903983938103714,0.028723348299289048,17
0.0024004505618194913,0.016139965383106542,18
0.0010212297193377814,0.00724799349307417,19
