mse,mae,fold
0.0012978976611519814,0.008316267062452726,0
0.0009800655196780515,0.009546973591088264,1
0.004098210604012535,0.018486468242825536,2
0.0034458266359357233,0.015952282653268465,3
0.0008280122875305459,0.0077778171686591615,4
0.0025146390102950248,0.014096457502867284,5
0.012510894050460186,0.03429987372080206,6
0.0003426048523562392,0.005561173047846222,7
0.0002853460032265101,0.00616553415126785,8
0.0009525151248498796,0.007983681353121674,9
0.0006961784251134513,0.008035166943279914,10
0.0034472154480673155,0.013155271460807262,11
0.0008988373339864172,0.007903071919903913,12
0.004332170918665297,0.017413627904664712,13
0.003406603724111107,0.016417627161283425,14
0.003278230783186939,0.014468061160096043,15
0.004028665904151951,0.01608633563838123,16
0.0022333072562446795,0.014105189199889378,17
0.0025239511282951904,0.0143849651383337,18
0.0002471473528168079,0.004775039214958628,19
