mse,mae,fold
0.004682862045490257,0.029135619300902093,0
0.0017865724860985485,0.01434837504777145,1
0.00837619472981252,0.050348278299925754,2
0.0021781761095474553,0.018250074476757857,3
0.008180631321884124,0.04576816656404945,4
0.013538321306806987,0.04377083806013162,5
0.007692038407495476,0.03559648219145407,6
0.005636380025556379,0.030390494855504904,7
0.003400179399830445,0.02460810376489972,8
0.0068126049628025286,0.03240822813507106,9
0.003851507695857503,0.026203521812320368,10
0.007710441519529334,0.03604143752955103,11
0.007719518581402671,0.04405592227966917,12
0.007141169428036811,0.03715321049071681,13
0.005338882403635197,0.026060770742069788,14
0.0025935050544564566,0.02288390592785912,15
0.003097098859029075,0.0236920699105084,16
0.011641484330219998,0.04809732371537306,17
0.0049348420359157956,0.029706904065513,18
0.005681084116922953,0.02774898995202575,19
