accuracy,precision,recall,f1
0.9629629629629629,1.0,0.8888888888888888,0.9411764705882353
0.9629629629629629,1.0,0.8888888888888888,0.9411764705882353
0.9629629629629629,1.0,0.875,0.9333333333333333
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9629629629629629,1.0,0.875,0.9333333333333333
0.8518518518518519,0.8333333333333334,0.625,0.7142857142857143
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9629629629629629,1.0,0.8888888888888888,0.9411764705882353
1.0,1.0,1.0,1.0
0.9259259259259259,0.875,0.875,0.875
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9259259259259259,1.0,0.75,0.8571428571428571
0.9629629629629629,1.0,0.875,0.9333333333333333
0.9259259259259259,1.0,0.75,0.8571428571428571
1.0,1.0,1.0,1.0
