mse,mae,fold
0.004286810085749863,0.02368800283922538,0
0.0040493299061963835,0.013349304509905902,1
0.0017094331855935412,0.015474728147625474,2
0.0030360642923615917,0.012575119194898345,3
0.0012890498965645461,0.01351775099813692,4
0.003463186625404263,0.015422138758872772,5
0.0024717221884441773,0.017871770857825316,6
0.0005668328271097272,0.007770296727368648,7
0.0009354851824359784,0.009123268939285271,8
0.004949520624949203,0.015552508957582372,9
0.0008096942632058681,0.010720706951333266,10
0.003393543178812602,0.01660657128271333,11
0.0027429247117786147,0.013260565825626569,12
0.0006539010088794502,0.00928656440253943,13
0.003967877939250503,0.013149333929913713,14
0.0047592235501565236,0.019454754035150484,15
0.0012341315361887025,0.012946575600931098,16
0.011488736969765953,0.035454902063703345,17
0.003089808536388458,0.0174155500318111,18
0.0010084226687655728,0.007290805137209145,19
