mse,mae,fold
0.002060989284395782,0.011548459054002015,0
0.0013644803689965219,0.012320185892330977,1
0.004902469634135744,0.01996226163736426,2
0.003743242077585665,0.018533500450550962,3
0.00102572135408048,0.007899124811882692,4
0.001851057191351005,0.01379550189853923,5
0.012514393799216532,0.03679001303914415,6
0.0004974239022553583,0.007942384373840802,7
0.0007759765250621554,0.008704217216346196,8
0.0007596691375167812,0.007466578814623264,9
0.00107140609157842,0.01181248778126989,10
0.005185913496771296,0.01586854826750427,11
0.0008120852998177134,0.008234723584186256,12
0.004369741089974891,0.017323388298070494,13
0.004362253702864679,0.019583189652321076,14
0.00277659777382626,0.014200331594611199,15
0.004291427326991309,0.016138057797045482,16
0.002610625498379937,0.018114629867045196,17
0.0021410158475064305,0.014097284629322769,18
0.0003749127595077792,0.005710279885650131,19
