accuracy,precision,recall,f1
0.9629629629629629,1.0,0.8888888888888888,0.9411764705882353
1.0,1.0,1.0,1.0
0.9259259259259259,0.875,0.875,0.875
0.9259259259259259,0.8,1.0,0.888888888888889
0.9629629629629629,1.0,0.875,0.9333333333333333
0.8518518518518519,0.7,0.875,0.7777777777777777
0.8888888888888888,1.0,0.625,0.7692307692307693
0.9259259259259259,0.875,0.875,0.875
0.9259259259259259,0.8,1.0,0.888888888888889
0.9629629629629629,0.8888888888888888,1.0,0.9411764705882353
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9629629629629629,0.8888888888888888,1.0,0.9411764705882353
0.9259259259259259,0.875,0.875,0.875
0.9259259259259259,0.8,1.0,0.888888888888889
0.9259259259259259,0.875,0.875,0.875
0.8888888888888888,0.8571428571428571,0.75,0.7999999999999999
0.9629629629629629,1.0,0.875,0.9333333333333333
0.8148148148148148,0.8,0.5,0.6153846153846154
0.9259259259259259,0.875,0.875,0.875
