full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1130360266_3,58385.5571644,0.8403,63.2,209.92732318289,0.2,3912.17,2.21457,0.00690538,45.63,0.950625,0.2,3912.2,2.2146,0.0069054,0.4262700125779602,4.917928310221061,265,265,0.3221962050471529,
1130360214_0,58307.5973264,2.674,71.8,150.889875696448,0.355173,663.722,1.19926,0.00367744,83.35,0.9580459770114942,0.35533,661.76,1.1986,0.0035003,0.4896729918913078,5.996022705876482,498,498,0.660609536003686,
1130360262_0,58381.2459954,0.6972,64.5,497.615774032427,0.2,4627.61,1.90367,0.00399752,82.41,0.969529411764706,0.2,3289.3,1.8941,0.0039151,0.4772528111571851,5.1621598108286335,511,511,0.2467220756206553,
1130360190_0,58276.0742708,7.234,90.5,201.932067400077,0.2,71111.9,1.94883,0.0379529,133.46,0.974160583941606,0.2,63741.0,1.941,0.037429,0.4311735002406489,17.171544096158406,1622,1622,0.4966998958224011,
1130360227_1,58322.7264236,16.52,98.0,294.816450993239,0.200003,109408.0,1.87186,0.0831737,162.87,0.9752694610778444,0.2,109680.0,1.8656,0.082455,0.458997627055218,84.155517712443,5184,5184,0.2114570685639409,
1130360219_0,58313.5863079,1.171,73.5,1042.64433699343,0.2,9231.39,1.88602,0.00590264,150.88,0.9797402597402596,0.2,7885.9,1.8794,0.0058266,0.4830761983207758,6.800051202954998,1548,1548,0.255978175958119,
1130360272_0,58393.6412269,1.124,64.4,132.951508198486,0.53779,11.1479,1.1998,0.00174723,39.34,0.9835,0.5373,19.858,1.1937,0.0015387,0.5514587725618255,5.109220821790196,224,224,0.4100107749205741,
1130360276_0,58398.7387269,3.045,88.6,864.829590129666,0.298969,915.991,1.38247,0.00734267,176.52,0.9972881355932204,0.29953,902.13,1.3803,0.0073133,0.5491724152912016,15.42094944094822,3046,3046,0.2442336524011445,
1130360226_0,58321.1773611,8.268,95.9,406.762271290296,0.200034,31463.3,1.81187,0.0393331,162.62,0.9976687116564418,0.2,31830.0,1.8047,0.038948,0.4959446360411419,41.5917259695529,3699,3699,0.224029984901354,
1130360244_3,58350.4849421,1.503,65.0,283.901167999604,0.277075,1005.76,1.37559,0.00328538,102.85,0.9985436893203884,0.28027,959.32,1.3632,0.0032191,0.6333985154381473,4.894518417354878,550,550,0.4974411952850298,
2130360201_5,58558.6863657,1.81,77.4,420.682523908617,0.2,6906.79,1.85939,0.00984904,117.93,0.999406779661017,0.2,6263.8,1.8511,0.0097192,0.4465971836733476,8.467434932898657,1034,1034,0.3291505770700645,
1130360191_1,58277.4804051,2.574,85.5,412.864990305679,0.2,29080.1,1.69438,0.00947983,126.06,1.0004761904761903,0.2,29084.0,1.6944,0.0094799,0.4762181302461351,11.522721983241434,1198,1198,0.2757532655879552,
1130360216_2,58309.0684028,1.505,67.8,415.767455996946,0.2,19024.3,1.72214,0.00566969,122.55,1.0045081967213114,0.2,17180.0,1.7104,0.0055636,0.4379790025960225,5.558904464853449,824,824,0.4347266136770067,
1130360235_1,58335.5590856,3.894,87.4,854.702288997505,0.2,26973.4,1.81127,0.0176837,182.59,1.014388888888889,0.2,25518.0,1.8076,0.017572,0.4775874654916353,14.11125571157172,3794,3794,0.3385619690814365,
1130360245_0,58351.1905208,0.9017,61.0,300.893656696193,0.542861,7.77144,1.19774,0.00144172,76.24,1.0165333333333333,0.5431,7.7509,1.1939,0.0012219,0.5463694059725315,4.894779457628094,442,442,0.3771606420588674,
1130360284_0,58505.082037,1.798,82.8,1107.83889590204,0.2,8762.37,1.78833,0.00848276,169.24,1.0195180722891566,0.2,7046.9,1.7816,0.0083688,0.4760727086036869,10.779295262971171,2408,2408,0.2222656319794667,
1130360268_0,58388.8881944,1.436,73.7,1905.41686816094,0.2,5822.67,1.75725,0.00627179,190.78,1.0202139037433156,0.2,204.84,1.5201,0.0039231,0.5176930491777547,7.024433724765599,3473,3473,0.3025509679306276,
1130360261_1,58380.6676505,0.6217,54.8,434.77702002693,0.263443,281.088,2.39382,0.00602363,82.9,1.0234567901234568,0.26601,253.68,2.2153,0.0041148,0.3574675987780734,4.191363813250034,463,463,0.3336860823931255,
1130360267_4,58386.4537269,0.9671,67.0,1030.24968209211,0.2,5535.68,1.76881,0.0042945,154.82,1.0252980132450331,0.2,5535.7,1.7688,0.0042945,0.5147896603731938,5.729189922207512,1401,1401,0.2875470329252929,
1130360217_0,58310.2450463,1.429,80.7,720.760339600703,0.2,14504.4,2.17249,0.00998543,132.35,1.025968992248062,0.2,11950.0,2.1592,0.00974,0.4047380876981304,8.494095077610572,1190,1190,0.2203113549500912,
1130360263_1,58382.2164815,0.5973,65.8,146.537097000517,0.348082,94.1422,1.27083,0.00133931,22.71,1.0322727272727272,0.34575,99.973,1.2734,0.0013549,0.5564560720129434,4.943770198479531,136,136,0.2353313162311158,
1130360226_4,58321.4990972,10.23,95.1,469.719315996626,0.200552,53149.2,1.67091,0.0393971,185.06,1.033854748603352,0.20029,54554.0,1.67,0.039362,0.5276032820476563,34.457186570867215,5209,5209,0.3314564842435429,
1130360244_2,58350.4206019,0.9362,55.7,262.909133496985,0.2,4327.91,2.72651,0.0122113,76.52,1.034054054054054,0.2,92.803,1.5688,0.0017447,0.3424860806936368,4.297636996213158,393,393,0.4532982367629806,
1130360227_0,58322.0135995,12.77,97.1,543.675667200238,0.201031,59201.6,1.77697,0.0568622,192.6,1.035483870967742,0.2008,60195.0,1.7775,0.056989,0.4885906698272189,58.1616704333264,7498,7498,0.2412685023045782,
1130360199_0,58287.3230208,9.017,93.2,208.919723097002,0.2,52983.7,1.66328,0.0345495,153.85,1.0465986394557822,0.2,48432.0,1.6586,0.034267,0.5002133798245745,25.89923997228217,2095,2095,0.4027341848467643,
