observation_ID,A,B,C,D,E,F,G
10258-01-02-00,1.761e+03,0.1888412017167382,1.67338,0.545626,4.99266,1.82629,63.4054
10408-01-42-00,3.197e+03,0.14355853675402808,2.09075,2.12375,7.13356,1.35702,410.054
10408-01-45-00,1.756e+03,0.166771713097189,1.75163,0.645854,5.94222,1.52818,133.024
20186-03-02-05,2.611e+03,0.12013391132666637,1.92937,1.16005,4.86314,1.37002,407.085
20402-01-01-00,2.953e+03,0.13873806403295263,2.12710,1.99051,7.51699,1.35105,405.516
20402-01-02-01,2.249e+03,0.15407706313665667,1.97110,1.26663,7.24612,1.38449,259.799
20402-01-04-00,2.184e+03,0.1514386673397274,1.94702,1.15567,7.05916,1.39210,275.428
20402-01-05-00,1.409e+03,0.19264774313634248,1.59071,0.365376,6.06102,1.71661,66.3122
20402-01-07-00,1.313e+03,0.18903607431475467,1.59615,0.348682,6.17512,1.66357,73.0932
20402-01-08-00,1.318e+03,0.17124259367437203,1.78832,0.536207,7.23793,1.48428,118.899
20402-01-08-01,1.233e+03,0.18212538906180525,1.68925,0.413118,6.68212,1.56540,87.0873
20402-01-09-00,1.096e+03,0.19946279347393553,1.58601,0.288514,6.51284,1.71752,50.4490
20402-01-10-00,9.862e+02,0.19853917662682602,1.63008,0.291041,7.07667,1.67818,48.2024
20402-01-11-00,9.074e+02,0.19985569985569987,1.54702,0.215537,6.49585,1.72132,42.6305
20402-01-12-00,8.847e+02,0.20536153467781604,1.46052,0.164086,6.17524,1.79143,37.2555
20402-01-13-00,9.365e+02,0.1824142372087578,1.71326,0.333267,7.44466,1.53720,71.4822
20402-01-14-00,9.085e+02,0.18442969221484612,1.64733,0.277431,6.87673,1.57179,64.8114
20402-01-15-00,8.118e+02,0.22186751795690346,1.31604,9.08155E-02,5.92002,1.97248,24.4767
20402-01-16-00,7.962e+02,0.20281728665207877,1.52454,0.178268,6.68071,1.73687,36.8904
20402-01-18-00,8.405e+02,0.19550824354147733,1.47317,0.159339,6.03576,1.72077,43.9728
20402-01-19-00,7.552e+02,0.22381020437330282,1.20743,4.91168E-02,5.58984,2.03459,21.5351
20402-01-20-00,8.039e+02,0.19666123778501632,1.56418,0.200196,6.80045,1.67687,43.5486
20402-01-21-00,7.878e+02,0.18780453849366563,1.59421,0.212282,6.71232,1.59170,54.2455
20402-01-21-01,7.951e+02,0.18413793103448275,1.99456,0.515953,37.0157,1.38307,73.7267
20402-01-24-00,9.470e+02,0.20745412844036698,1.39165,0.139167,5.81644,1.83653,37.9778
20402-01-27-01,1.260e+03,0.16672489082969433,1.80408,0.527763,7.49663,1.43896,138.143
20402-01-47-01,3.024e+03,0.11223960263918749,2.07908,1.67342,5.17151,1.32574,547.545
