observation_ID,C,D,E,F
1050360103_0,1.79359,9.00546,0.200000,7.76322E+06
1050360103_1,1.80782,9.31307,0.200000,7.90742E+06
1050360103_2,1.80540,9.27863,0.200000,7.84098E+06
1050360104_0,2.27129,38.7997,0.200000,1.56880E+07
1050360104_1,2.33531,41.1365,0.200000,1.46407E+07
1050360104_11,2.33388,42.8794,0.200000,1.56383E+07
1050360104_12,2.30923,40.1372,0.200000,1.58940E+07
1050360104_13,2.28410,37.9799,0.200000,1.64026E+07
1050360104_14,2.33336,42.0935,0.200000,1.56904E+07
1050360104_5,2.35519,44.6149,0.200000,1.49991E+07
1050360104_6,2.34262,44.7023,0.200000,1.49348E+07
1050360104_7,2.32644,42.1463,0.200000,1.55830E+07
1050360104_8,2.33372,42.2469,0.200000,1.56399E+07
1050360104_9,2.33214,42.5147,0.200000,1.54415E+07
1050360105_1,2.33047,43.9696,0.200000,1.53449E+07
1050360105_15,2.30304,43.7577,0.200000,1.61208E+07
1050360105_16,2.30791,41.0771,0.200000,1.64000E+07
1050360105_17,2.30763,40.9075,0.200000,1.64452E+07
1050360105_18,2.26754,38.2950,0.200000,1.69991E+07
1050360105_19,2.26740,39.2270,0.200000,1.69373E+07
1050360105_2,2.35466,44.7952,0.200000,1.55656E+07
1050360105_21,2.29688,42.2799,0.200000,1.65951E+07
1050360105_23,2.32632,45.7446,0.200000,1.56457E+07
1050360105_26,2.26011,40.9168,0.200000,1.68932E+07
1050360105_28,2.20865,35.1093,0.200000,1.76030E+07
1050360105_29,2.16664,32.2345,0.200000,1.79710E+07
1050360105_4,2.30480,43.8563,0.200000,1.60716E+07
1050360106_0,2.16668,32.2026,0.200000,1.79582E+07
1050360106_1,2.16840,32.3894,0.200000,1.80580E+07
1050360106_2,2.19299,33.9298,0.200000,1.78527E+07
1050360106_3,2.16472,32.5668,0.200000,1.82094E+07
1050360106_4,2.15558,32.2808,0.200000,1.82489E+07
1050360106_5,2.14593,31.4469,0.200000,1.81912E+07
1050360106_6,2.17795,33.2392,0.200000,1.81336E+07
1050360106_7,2.21693,36.3349,0.200000,1.78012E+07
1050360106_8,2.21731,36.5821,0.200000,1.78521E+07
1050360106_9,2.21731,37.0475,0.200000,1.81092E+07
1050360107_0,2.23086,40.7187,0.200000,1.89929E+07
1050360107_1,2.23027,41.5105,0.200000,1.91448E+07
1050360108_4,2.28023,51.7212,0.200000,1.84067E+07
1050360108_8,2.26111,45.8736,0.200000,1.94112E+07
1050360108_9,2.23870,44.6204,0.200000,1.94082E+07
1050360109_10,2.28996,55.3559,0.200000,1.91711E+07
1050360109_2,2.28197,62.5865,0.200000,1.72476E+07
1050360109_3,2.27045,61.2483,0.200000,1.79018E+07
1050360109_5,2.27755,60.4340,0.200000,1.84138E+07
1050360109_8,2.24669,57.7597,0.200000,1.97426E+07
1050360110_0,2.28105,56.8553,0.200000,1.93439E+07
1050360110_3,2.30045,71.0996,0.200000,1.75386E+07
1050360110_4,2.30660,73.0048,0.200000,1.72885E+07
1050360110_5,2.34239,81.4019,0.200000,1.51251E+07
1050360110_6,2.33968,82.5906,0.200000,1.50536E+07
1050360111_2,2.44145,121.689,0.200000,3.72796E+06
1050360111_3,2.42038,111.222,0.200000,8.79994E+06
1050360111_6,2.44950,121.822,0.200000,5.58174E+06
1050360112_1,2.41898,122.682,0.200000,5.14215E+06
1050360112_3,2.42241,116.194,0.200000,8.20614E+06
1050360113_0,2.42238,115.852,0.200000,8.51628E+06
1050360113_1,2.46274,124.668,0.200000,5.03403E+06
1050360113_2,2.44999,123.894,0.200000,6.07583E+06
1050360113_4,2.47101,128.716,0.200000,4.24187E+06
1050360113_7,2.75987,104.922,0.398726,2.35269E-12
1050360114_1,2.76373,106.194,0.391095,8.57741E-12
1050360114_2,2.75949,106.301,0.387443,9.53259E-12
1050360115_10,2.77199,104.024,0.395314,8.52076E-07
1050360115_12,2.70067,108.499,0.362756,1.04308E-10
1050360115_14,2.70740,108.763,0.361868,8.81569E-10
1050360115_15,2.51976,133.174,0.200000,1.27471E+06
1050360115_16,2.52349,133.469,0.200000,8.08349E+05
1050360115_17,2.51541,132.289,0.200000,1.38775E+06
1050360115_18,2.50756,130.439,0.200000,1.64038E+06
1050360115_19,2.51826,134.386,0.200000,1.09952E+06
1050360115_2,2.65827,155.282,0.200000,7.70395E-09
1050360115_20,2.67573,111.586,0.344124,3.19321E-11
1050360115_21,2.63844,115.444,0.315358,4.85443E-11
1050360115_4,2.77072,104.288,0.400282,0.185547
1050360115_6,2.72201,110.124,0.366893,2.98732E-10
1050360116_1,2.52780,132.386,0.200000,1.11939E+06
1050360116_2,2.50449,129.791,0.200000,2.33609E+06
1050360116_3,2.65724,112.445,0.326750,7.10723E-10
1050360116_4,2.68995,109.923,0.347183,2.01865E-11
1050360116_6,2.71458,106.997,0.360280,2.93742E-10
1050360116_7,2.73411,106.737,0.369665,3.28122E-11
1050360116_8,2.77172,104.541,0.386585,1.02279E-11
1050360117_1,2.68496,121.596,0.300921,2.83296E-10
1050360117_2,2.77110,102.546,0.389922,6.76908E-10
1050360117_7,2.70362,108.023,0.345991,3.04395E-02
1050360117_8,2.68811,110.268,0.335730,1.84875E-11
1050360118_0,2.75646,104.619,0.370574,3.00326E-07
1050360118_1,2.54582,129.117,0.200000,1.07874E+06
1050360118_3,2.51103,125.258,0.200000,2.83780E+06
1050360118_4,2.50997,124.316,0.200000,2.57497E+06
1050360118_5,2.51078,123.538,0.200000,2.78366E+06
1050360119_0,2.69879,148.181,0.200000,3.97071E-09
1050360119_3,3.02568,90.8619,0.457785,5.09538E-12
1050360119_4,3.01041,91.7927,0.449146,5.67697E-12
1050360120_0,2.81671,101.388,0.407295,7.24968E-07
1050360120_2,2.65792,113.984,0.322025,2.63473E-09
1050360120_3,2.71566,107.851,0.354778,2.37472E-10
1050360120_4,2.70931,107.999,0.353248,2.82942E-11
1050360120_5,2.65610,112.853,0.324086,1.74205E-11
1050360120_6,2.66356,111.876,0.328270,1.13636E-08
1050360120_7,2.69167,109.530,0.344989,2.13567E-11
1130360103_0,2.50774,111.440,0.200000,3.69101E+06
1130360103_1,2.49144,110.225,0.200000,4.09847E+06
1130360103_2,2.48848,109.714,0.200000,3.74171E+06
1130360103_3,2.48214,100.405,0.200000,7.81627E+06
1130360104_0,2.43344,82.7434,0.200000,1.17661E+07
1130360104_1,2.44032,84.4579,0.200000,1.11770E+07
1130360105_0,2.46059,87.3567,0.200000,9.89891E+06
1130360105_1,2.46650,89.0594,0.200000,9.48524E+06
1130360105_2,2.44202,82.4002,0.200000,1.11963E+07
1130360105_3,2.45561,85.8551,0.200000,1.02548E+07
1130360106_0,2.49440,91.5952,0.200000,7.61908E+06
1130360106_1,2.48575,90.8639,0.200000,8.17055E+06
1130360107_0,2.41821,70.2011,0.200000,1.28802E+07
1130360107_11,2.40708,67.1495,0.200000,1.34924E+07
1130360107_12,2.40869,68.0801,0.200000,1.34151E+07
1130360107_13,2.40755,67.0488,0.200000,1.34051E+07
1130360107_14,2.40857,67.9784,0.200000,1.33978E+07
1130360107_15,2.45630,78.3979,0.200000,1.05760E+07
1130360107_6,2.40412,68.1162,0.200000,1.32674E+07
1130360107_7,2.39647,67.1820,0.200000,1.37027E+07
1130360108_2,2.48251,81.6398,0.200000,9.55942E+06
1130360109_2,2.64134,111.039,0.200000,7.63628E-09
1130360109_5,2.57245,101.944,0.200000,2.35339E+06
1130360110_0,2.54079,89.2395,0.200000,6.62599E+06
1130360110_1,2.49479,80.7831,0.200000,9.34660E+06
1130360110_3,2.60745,100.293,0.200000,2.74925E+06
1130360110_6,2.65787,109.798,0.200000,5.33540E-09
1130360111_0,2.63015,105.193,0.200000,6.97874E+05
1130360111_2,2.63890,105.433,0.200000,5.80585E+05
1130360111_3,2.66059,106.851,0.200000,2.54496E-08
1130360113_0,2.59377,85.7179,0.200000,6.85760E+06
1130360113_1,2.50200,68.8589,0.200000,1.16624E+07
1130360130_4,3.64758,6.25802,0.511612,3.72671E+04
1130360130_5,3.64758,5.16266,0.527547,3.37395E+04
