First Model Name,Second Model Name,t,p,% Chance First Better,% Chance Second Better
ET,XGBoost,2.97,0.002200897034930011,99.61,0.39000000000000057
ET,RF,5.92,1.142635282187161e-07,100.0,0.0
ET,DT,6.83,3.907899844778684e-09,100.0,0.0
ET,Linear,14.83,5.490145223207365e-21,100.0,0.0
XGBoost,RF,0.19,0.4245289458442535,57.48,42.52
XGBoost,DT,4.22,4.649962512472576e-05,99.98,0.01999999999999602
XGBoost,Linear,10.29,1.2369794660629425e-14,100.0,0.0
RF,DT,4.63,1.182401326683233e-05,99.99,0.010000000000005116
RF,Linear,14.3,2.6076703387937797e-20,100.0,0.0
DT,Linear,6.15,4.911617433188939e-08,100.0,0.0
