First Model Name,Second Model Name,t,p,% Chance First Better,% Chance Second Better
ET,XGBoost,1.81,0.03811086736768062,95.68,4.319999999999993
ET,RF,2.29,0.013008875540282383,98.32,1.6800000000000068
ET,DT,2.44,0.009038345313478004,98.77,1.230000000000004
ET,Linear,12.81,3.734009341996697e-18,100.0,0.0
XGBoost,RF,0.19,0.4258331525895712,57.35,42.65
XGBoost,DT,0.84,0.2026014885575615,79.41,20.590000000000003
XGBoost,Linear,11.53,2.335735376001398e-16,100.0,0.0
RF,DT,0.7,0.24393821154225004,75.34,24.659999999999997
RF,Linear,12.55,8.490189591462226e-18,100.0,0.0
DT,Linear,11.18,7.396850462655378e-16,100.0,0.0
