ID,name,frequency,KTin,gamma,freq_err,KTin_err,gamma_err,reduced_chi_square,exposure,number
60705-01-84-02,GX 339-4,4.97,0.84,2.38,0.01,0.02,0.04,1.10/74,1680,1
70108-03-02-00,GX 339-4,5.32,0.83,2.53,0.02,0.01,0.03,0.92/74,9888,2
70109-01-07-00,GX 339-4,5.9,0.88,2.58,0.01,0.02,0.05,0.77/74,5120,3
70110-01-14-00,GX 339-4,6.39,0.87,2.43,0.02,0.02,0.04,0.98/74,880,4
70110-01-15-00,GX 339-4,5.82,0.87,2.51,0.02,0.02,0.05,1.21/74,880,5
70110-01-47-00,GX 339-4,5.77,0.86,2.57,0.03,0.02,0.05,0.93/74,1200,6
90110-02-01-03,GX 339-4,4.09,0.78,2.33,0.01,0.02,0.07,0.82/74,1056,7
90704-01-02-00,GX 339-4,4.22,0.78,2.31,0.01,0.02,0.04,0.94/74,3104,8
91105-04-10-00,GX 339-4,3.29,0.68,2.22,0.06,0.04,0.14,1.07/74,704,9
92035-01-04-00,GX 339-4,6.68,0.91,2.53,0.01,0.02,0.03,0.44/47,3232,10
92085-01-03-01,GX 339-4,6.23,0.87,2.51,0.01,0.02,0.03,0.74/74,2304,11
95335-01-01-00,GX 339-4,5.25,0.83,2.52,0.01,0.02,0.03,0.71/74,3408,12
95335-01-01-01,GX 339-4,5.1,0.83,2.53,0.01,0.02,0.04,0.62/47,2976,13
95335-01-01-05,GX 339-4,4.9,0.82,2.55,0.01,0.02,0.05,0.87/47,1520,14
95335-01-01-06,GX 339-4,4.9,0.81,2.5,0.02,0.01,0.04,1.20/47,3440,15
95335-01-01-07,GX 339-4,5.33,0.85,2.46,0.02,0.03,0.06,0.58/47,1056,16
95409-01-15-02,GX 339-4,5.76,0.89,2.52,0.01,0.02,0.04,0.55/47,1344,17
95409-01-15-06,GX 339-4,5.69,0.85,2.55,0.01,0.02,0.04,0.68/47,1424,18
95409-01-16-05,GX 339-4,5.95,0.86,2.46,0.02,0.02,0.03,1.18/47,2880,19
95409-01-17-00,GX 339-4,5.96,0.85,2.45,0.02,0.02,0.05,0.81/47,960,20
95409-01-17-05,GX 339-4,5.24,0.84,2.5,0.01,0.02,0.04,0.81/47,2464,21
95409-01-17-06,GX 339-4,5.13,0.83,2.51,0.02,0.02,0.05,0.91/47,1216,22
95409-01-18-00,GX 339-4,5.41,0.83,2.54,0.01,0.02,0.05,0.61/47,1152,23
95409-01-18-04,GX 339-4,4.87,0.85,2.33,0.04,0.02,0.14,0.57/47,144,24
95409-01-18-05,GX 339-4,4.96,0.82,2.6,0.02,0.02,0.08,0.66/47,528,25
95409-01-19-00,GX 339-4,4.7,0.8,2.53,0.02,0.02,0.07,1.04/47,896,26
70133-01-11-00,4U 1543-47,7.45,0.86,2.67,0.01,0.02,0.03,0.88/74,1056,27
70133-01-15-00,4U 1543-47,8.05,0.83,2.5,0.03,0.02,0.03,1.05/74,1184,28
70133-01-16-00,4U 1543-47,7.23,0.83,2.57,0.03,0.02,0.04,0.96/74,864,29
80135-02-02-00,H 1743-322,5.47,1.24,2.63,0.02,0.01,0.03,0.68/74,5760,30
80135-02-02-000,H 1743-322,5.32,1.23,2.68,0.02,0.01,0.01,1.21/74,15776,31
80135-02-02-01,H 1743-322,4.76,1.2,2.64,0.02,0.01,0.07,0.95/74,1424,32
