ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number,class
91094-01-01-00,Swift J1753.5-0.1,C,low,0.639,6.7,33.5,34.1,"(0.009, 0.009)","(0.6, 0.7)","(0.6, 0.7)",1,18
91094-01-01-01,Swift J1753.5-0.1,C,low,0.823,10.5,30.7,32.5,"(0.006, 0.006)","(1.1, 1.2)","(1.0, 1.1)",2,18
91094-01-01-02,Swift J1753.5-0.1,C,low,0.8420000000000001,9.6,31.9,33.3,"(0.005, 0.005)","(1.5, 1.6)","(1.4, 1.5)",3,18
91094-01-01-03,Swift J1753.5-0.1,C,low,0.8240000000000001,12.3,30.2,32.6,"(0.005, 0.005)","(3.3, 3.8)","(3.1, 3.6)",4,18
91094-01-01-04,Swift J1753.5-0.1,C,low,0.8320000000000001,14.6,29.0,32.5,"(0.006, 0.006)","(1.3, 1.4)","(1.2, 1.3)",5,18
91094-01-02-00,Swift J1753.5-0.1,C,low,0.7140000000000001,11.9,29.1,31.5,"(0.003, 0.003)","(1.5, 1.6)","(1.4, 1.5)",6,18
91094-01-02-01,Swift J1753.5-0.1,C,low,0.738,10.8,31.8,33.5,"(0.005, 0.005)","(0.9, 1.1)","(0.9, 1.0)",7,18
91094-01-02-02,Swift J1753.5-0.1,C,low,0.698,11.4,31.5,33.5,"(0.004, 0.004)","(1.3, 1.3)","(1.2, 1.2)",8,18
91094-01-02-03,Swift J1753.5-0.1,C,low,0.63,12.8,32.2,34.6,"(0.005, 0.005)","(1.5, 1.5)","(1.4, 1.5)",9,18
91423-01-01-00,Swift J1753.5-0.1,C,low,0.6709999999999999,14.7,29.4,32.9,"(0.003, 0.003)","(1.8, 1.6)","(1.6, 1.5)",10,18
91423-01-01-04,Swift J1753.5-0.1,C,low,0.895,12.1,29.7,32.1,"(0.006, 0.006)","(0.8, 0.9)","(0.8, 0.9)",11,18
91423-01-02-00,Swift J1753.5-0.1,C,low,0.614,9.4,35.5,36.7,"(0.005, 0.005)","(0.8, 0.6)","(0.8, 0.6)",12,18
91423-01-02-05,Swift J1753.5-0.1,C,low,0.589,13.8,31.6,34.5,"(0.005, 0.005)","(2.6, 2.4)","(2.4, 2.3)",13,18
91423-01-02-06,Swift J1753.5-0.1,C,low,0.5770000000000001,9.2,35.5,36.7,"(0.005, 0.005)","(0.5, 0.4)","(0.5, 0.4)",14,18
91423-01-03-00,Swift J1753.5-0.1,C,low,0.486,10.7,29.6,31.4,"(0.003, 0.004)","(1.4, 1.5)","(1.3, 1.4)",15,18
91423-01-03-02,Swift J1753.5-0.1,C,low,0.523,9.5,34.7,36.0,"(0.005, 0.005)","(0.5, 0.5)","(0.5, 0.5)",16,18
91423-01-03-03,Swift J1753.5-0.1,C,low,0.578,8.2,34.7,35.7,"(0.006, 0.006)","(0.9, 0.9)","(0.9, 0.9)",17,18
91423-01-03-04,Swift J1753.5-0.1,C,low,0.51,13.1,28.5,31.3,"(0.005, 0.005)","(1.7, 1.7)","(1.5, 1.6)",18,18
91423-01-03-05,Swift J1753.5-0.1,C,low,0.516,9.1,34.9,36.1,"(0.006, 0.006)","(0.3, 0.3)","(0.3, 0.3)",19,18
91423-01-03-06,Swift J1753.5-0.1,C,low,0.478,11.8,29.7,32.0,"(0.005, 0.005)","(0.9, 1.0)","(0.9, 1.0)",20,18
91423-01-03-07,Swift J1753.5-0.1,C,low,0.457,11.7,27.1,29.5,"(0.003, 0.003)","(0.9, 1.0)","(0.8, 0.9)",21,18
91423-01-04-00,Swift J1753.5-0.1,C,low,0.46,11.9,28.7,31.1,"(0.005, 0.005)","(1.6, 1.7)","(1.5, 1.6)",22,18
91423-01-04-01,Swift J1753.5-0.1,C,low,0.46299999999999997,10.1,39.7,41.0,"(0.005, 0.005)","(1.4, 1.4)","(1.4, 1.4)",23,18
91423-01-04-02,Swift J1753.5-0.1,C,low,0.442,9.2,34.7,35.9,"(0.005, 0.005)","(0.3, 0.3)","(0.3, 0.3)",24,18
