full_ids,simpl_tin,simpl_diskbb_norm,simpl_gamma,simpl_FracScat,fit_stat,reduced_fit_stat,mjd,net_source_count_rate,source_percent,source_exposure_time,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1050360103_0,0.200000,8.53208E+06,1.76864,4.88535E-02,657.62,3.2717412935323384,58005.3035185,1982.0,100.0,148.539888000349,0.497391058292425,4335.480011712296,316230,316230,0.4911599781491678,
1050360103_1,0.200000,8.68178E+06,1.78834,4.98474E-02,705.58,3.510348258706468,58005.36789349999,2005.0,99.9,166.488812995842,0.4929246341643871,2163.82740447424,358360,358360,0.9952051327579134,
1050360103_2,0.200000,8.62548E+06,1.78242,4.98835E-02,706.69,3.5158706467661696,58005.4322454,1971.0,99.9,166.483802996576,0.4962107363217802,1480.6400590475066,352400,352400,1.4305657763517532,
1050360104_0,0.200000,1.83416E+07,2.33759,0.116612,1201.32,5.976716417910447,58008.4558218,4556.0,100.0,222.787264049053,0.35768567645420746,4383.411689397505,1113493,1113493,1.1404702416790908,
1050360104_1,0.200000,1.79397E+07,2.35682,0.122977,763.47,3.798358208955224,58008.5201852,4569.0,100.0,118.363112026826,0.3529490555382753,7774.157504188097,593810,593810,0.6454069891591605,
1050360104_11,0.200000,1.89536E+07,2.35855,0.121571,2569.60,12.78407960199005,58008.8012153,4667.0,100.0,546.884153994732,0.352358179299852,5095.210036055391,2802054,2802054,1.0057830528586542,
1050360104_12,0.200000,1.89657E+07,2.33180,0.113003,4350.42,21.643880597014928,58008.84332180001,4609.0,100.0,846.324606064241,0.3576821180768183,3895.500698645292,4277056,4277056,1.2976458517081688,
1050360104_13,0.200000,1.91877E+07,2.31115,0.105549,4724.10,23.502985074626867,58008.9076852,4494.0,99.9,845.4159501241521,0.36115477399567936,2934.973864156634,4160092,4160092,1.6771668008450769,
1050360104_14,0.200000,1.90148E+07,2.35468,0.118621,4795.74,23.859402985074627,58008.971794000005,4694.0,99.9,866.168562917039,0.3537134471242101,3650.916628305458,4459970,4459970,1.4107386856489228,
1050360104_5,0.200000,1.84990E+07,2.38170,0.130667,3643.52,18.126965174129353,58008.73285880001,4829.0,100.0,658.318983900361,0.3482123521091027,4998.141052376676,3496417,3496417,1.0628335028928575,
1050360104_6,0.200000,1.83706E+07,2.39040,0.133894,1417.37,7.051592039800995,58008.7405324,4852.0,100.0,231.090095985681,0.3477435099730364,5537.180918779071,1232367,1232367,0.963270928017674,
1050360104_7,0.200000,1.88989E+07,2.34748,0.119300,958.81,4.770199004975124,58008.77817130001,4735.0,100.0,145.295696008019,0.3548907455272716,9117.607181254829,754843,754843,0.5698632362278621,
1050360104_8,0.200000,1.90800E+07,2.35731,0.119043,1061.40,5.280597014925373,58008.77991900001,4710.0,100.0,155.333099970594,0.35280602526739496,5347.288050436156,801918,801918,0.9656363329037738,
1050360104_9,0.200000,1.88181E+07,2.35494,0.121276,3104.93,15.447412935323383,58008.7817477,4742.0,99.9,607.71893005399,0.3537294601264574,1875.1426498559615,3165022,3165022,2.7788897992643453,
1050360105_1,0.200000,1.86509E+07,2.38130,0.129586,850.70,4.232338308457711,58008.9988079,4834.0,99.9,136.463918969035,0.3493220535371164,1833.3821026453681,725166,725166,2.9000370957827566,
1050360105_15,0.200000,1.89995E+07,2.38186,0.129273,2374.27,11.81228855721393,58009.1218634,4809.0,99.9,486.063616026193,0.34870118118611954,2014.318640275964,2568419,2568419,2.6245826045522795,
1050360105_16,0.200000,1.96446E+07,2.32945,0.111436,4657.05,23.169402985074626,58009.1646412,4726.0,99.9,845.0861098486929,0.3591091603511961,2410.126689168737,4372065,4372065,2.1474645711472844,
1050360105_17,0.200000,1.96061E+07,2.33062,0.111445,4939.40,24.57412935323383,58009.182858800006,4710.0,99.9,911.352809923701,0.35840226298110034,1781.5425227034814,4704888,4704888,2.8994151419141097,
1050360105_18,0.200000,1.98542E+07,2.29570,0.102654,5063.09,25.18950248756219,58009.2289699,4623.0,99.9,846.228442926425,0.3652616597206601,1532.5180688485807,4278928,4278928,3.3016059258596564,
1050360105_19,0.200000,1.97278E+07,2.31441,0.107552,4512.35,22.449502487562192,58009.2933449,4682.0,99.9,844.248146991245,0.3616003683824405,1493.040951495897,4328998,4328998,3.436659665795616,
1050360105_2,0.200000,1.91454E+07,2.37854,0.126435,1750.51,8.709004975124378,58009.0391088,4766.0,99.9,291.780241058208,0.3502847335750467,2905.9490172182104,1526425,1526425,1.8008646650250524,
1050360105_21,0.200000,1.95927E+07,2.33375,0.116316,597.03,2.9702985074626866,58009.422037000004,4880.0,99.9,75.52712800912559,0.3576015781633968,1296.5012261623747,404944,404944,4.13860682435292,
1050360105_23,0.200000,1.90122E+07,2.37996,0.132328,579.25,2.8818407960199006,58009.48591440001,5034.0,99.9,82.47045998740941,0.3485421500331733,2300.494471824925,457018,457018,2.4099194050278943,
1050360105_26,0.200000,1.96642E+07,2.32400,0.113983,1136.05,5.651990049751244,58009.6779977,4867.0,100.0,177.904161991086,0.3604492047391685,4163.335666918025,949387,949387,1.2820946023271849,
1050360105_28,0.200000,2.02149E+07,2.22226,8.95566E-02,4578.52,22.778706467661692,58009.80675930001,4561.0,99.9,745.954499929212,0.38058124357203976,2229.4968626022423,3715901,3715901,2.235320338952622,
