#Identifier: MAXIJ1535  Search term: 0503601  Nobs: 18
#ID,Source %,Exposure Time (sec)
1050360103,91.9,148.5
1050360104,96.3,222.8
1050360105,97.2,197.1
1050360106,96.2,825.7
1050360107,96.5,871.7
1050360108,96.7,863.5
1050360107,96.5,871.7
1050360110,97.1,861.7
1050360111,98.0,859.0
1050360112,97.9,871.4
1050360113,98.1,849.9
1050360111,98.0,859.0
1050360115,97.8,57.35
1050360116,97.7,800.1
1050360117,97.6,873.2
1050360118,97.4,982.9
1050360118,97.4,982.9
1050360116,97.7,800.1
#Identifier: MAXIJ1535  Search term: 13036  Nobs: 28
#ID,Source %,Exposure Time (sec)
1130360101,97.1,708.2
1130360102,96.8,1317.0
1130360103,96.6,1221.0
1130360104,95.7,1403.0
1130360105,95.6,1206.0
1130360105,95.6,1206.0
1130360106,95.4,2104.0
1130360107,94.2,558.2
1130360108,93.6,35.37
1130360106,95.4,2104.0
1130360110,94.4,2028.0
1130360110,94.4,2028.0
1130360111,94.3,1568.0
1130360111,94.3,1568.0
1130360113,98.4,282.5
1130360131,78.3,915.9
1130360132,78.8,805.7
1130360133,80.6,331.0
1130360134,81.4,87.49
1130360135,93.8,42.94
1130360137,91.5,440.2
1130360138,87.4,957.1
1130360139,83.5,503.5
1130360140,77.9,316.5
1130360143,77.0,175.7
1130360144,76.6,663.2
1130360145,76.8,149.8
1130360145,76.8,149.8
1130360146,76.0,246.7
