Temp (keV),Luminosity (log10Flux: erg/cm^{2}/s
0.602327,-10.3911
0.293975,-8.86621
0.359707,-10.7767
0.456339,-10.3003
0.600991,-8.46752
0.485825,-8.11646
0.241463,-10.4767
0.596394,-8.10131
0.456441,-8.50651
0.021285,-9.81579
0.114193,-9.39029
0.236181,-10.5765
0.322473,-8.88919
0.439764,-8.48566
0.448053,-9.6598
0.624652,-8.02962
0.600604,-8.09773
0.34769,-8.85679
0.438626,-8.50562
0.207084,-9.60803
0.0404483,-10.1377
0.206271,-9.50279
0.0510016,-10.2832
0.291865,-10.7919
0.284849,-9.58634
0.486513,-8.42029
0.296788,-8.89483
0.45567,-10.2503
0.231411,-8.47292
0.428468,-10.4413
0.430973,-10.436
0.317257,-8.63603
0.0957741,-8.58176
0.304875,-10.6372
0.60364,-9.07704
0.256711,-10.4222
0.233483,-9.00204
0.324563,-9.86427
0.620538,-8.9039
0.452509,-10.3157
0.153187,-9.86666
0.0609039,-8.50948
0.604262,-9.65776
0.487311,-8.42679
0.462836,-8.50775
0.303978,-8.96417
0.183805,-10.5139
0.263578,-9.58948
0.980269,-6.89754
0.187197,-9.91254
0.426697,-10.5556
0.607728,-10.4585
0.214692,-8.54487
0.644096,-9.98479
0.174021,-9.60042
0.361206,-10.4279
0.336154,-8.7853
0.425,-8.60256
0.306608,-8.86338
0.593211,-8.09805
0.482902,-8.41891
0.81143,-8.10297
0.593312,-9.34075
0.47966,-8.53435
0.239575,-10.4038
0.449245,-10.4779
0.0713667,-8.11106
0.649641,-8.48247
0.577575,-10.7203
0.598605,-9.29951
0.450251,-8.5011
0.607679,-9.50579
0.189097,-10.338
0.452555,-9.83958
0.244079,-8.08424
0.564077,-8.60761
0.481255,-10.1974
0.605613,-10.5004
0.388986,-9.40018
0.147051,-8.91096
0.482354,-8.42419
0.260542,-9.70513
0.151698,-10.3762
0.320588,-9.07973
0.483765,-10.3172
0.141367,-10.3958
0.324175,-8.11144
0.169144,-10.3694
0.614033,-10.3037
0.597225,-10.678
0.113667,-8.46261
0.942374,-9.60222
0.159146,-9.74621
0.604495,-8.61105
0.12135,-9.52255
0.146677,-9.5488
0.465827,-8.79185
0.603307,-9.49988
0.0162964,-8.48468
0.0721936,-10.2641
0.4174,-8.47652
0.540871,-10.6818
0.953642,-9.71254
0.202584,-10.1543
0.260709,-10.4141
0.329394,-10.1996
0.48087,-8.44611
0.444315,-9.895
0.0748951,-9.51587
0.476784,-8.49197
0.42469,-10.6754
0.202167,-10.2758
0.110598,-8.91157
0.149643,-8.57942
0.27877,-10.5783
0.509639,-10.145
0.486394,-8.10915
0.146771,-9.73387
0.450435,-8.45937
0.160609,-9.31669
0.217669,-9.18831
0.439944,-9.6409
0.154072,-10.1371
0.592356,-10.3084
0.0217821,-8.45545
0.455829,-8.50042
0.324041,-10.4129
0.249246,-9.73413
0.19501,-10.3681
0.562495,-8.78339
0.500751,-8.41897
0.147998,-8.73551
0.486821,-10.6173
0.456962,-10.4283
0.177022,-10.4088
0.0534966,-8.63142
0.339101,-8.2386
0.627779,-8.6021
0.479219,-8.44868
0.387768,-8.53648
0.0648291,-9.22638
0.426072,-8.98769
0.0654769,-8.87927
0.422056,-10.4752
0.488291,-9.43832
0.312935,-10.669
0.444534,-7.97545
0.121909,-10.385
0.216741,-8.08389
0.794998,-8.87632
0.318823,-9.91094
0.274591,-10.2609
0.113078,-9.41287
0.201109,-10.728
0.590147,-8.10003
0.0826187,-8.85589
0.601724,-10.1174
0.330444,-9.06518
0.110644,-8.75775
0.259276,-9.25983
0.27514,-9.39755
0.595724,-8.08883
0.110461,-9.91225
0.128735,-9.55902
0.592967,-9.88886
0.321821,-8.13253
0.433457,-8.4183
0.29134,-8.0623
0.289071,-10.633
0.383673,-10.4985
0.254737,-11.3917
0.606959,-8.54687
0.642683,-10.5914
0.120031,-10.8525
0.192454,-9.87424
0.157942,-10.4134
0.576547,-8.61682
0.485774,-8.0982
0.6125,-9.93301
0.0709393,-7.01686
0.0229281,-9.72258
